city,mu,se,lo,hi,p,n_obs,pct,pct_lo,pct_hi,panel
Los Angeles,0.8027327606737952,0.030160651130651375,0.7436178844577185,0.8618476368898719,0.0,208202.0,123.16311169434036,110.35321005158534,136.75309926997383,largest_PA_increase
Lubbock,0.7836489303275028,0.025743336786067803,0.7331919902268099,0.8341058704281957,0.0,32874.0,118.94468463030022,108.17148272427795,130.27541669265824,largest_PA_increase
Boston,0.48974822387662054,0.021619372081854483,0.44737425459618574,0.5321221931570553,0.0,43832.0,63.19052934383027,56.41995986432433,70.25415995899039,largest_PA_increase
Amarillo,0.4544119716445003,0.028199137699999124,0.39914166175250204,0.5096822815364986,0.0,27395.0,57.524682084070335,49.05447568343797,66.47621852286731,largest_PA_increase
San Jose,0.4361823959992125,0.02863051303132528,0.38006659045781493,0.49229820154061005,0.0,82185.0,54.67908974927105,46.23819668766589,63.607192563808425,largest_PA_increase
Visalia,0.42000151349975484,0.003755560384412775,0.4126406151463058,0.4273624118532039,0.0,10958.0,52.19638591088183,51.080196901202825,53.32082138787344,largest_PA_increase
New York,0.403027583999689,0.018219393087753017,0.3673175735476931,0.4387375944516849,0.0,164370.0,49.634816636167486,44.38563769062647,55.07483090330296,largest_PA_increase
Oklahoma City,0.39803868629987627,0.013924339708673404,0.3707469804708764,0.42533039212887613,0.0,115059.0,48.890162888802614,44.88164481514305,53.00958677918837,largest_PA_increase
Overland Park,0.3743913924623607,0.009606437673896335,0.35556277462152386,0.39322001030319753,0.0,32874.0,45.41061652880967,42.69834984483896,48.174435249457574,largest_PA_increase
Sacramento,0.3562776143816913,0.05029376370469151,0.25770183752049597,0.45485339124288665,1.4011014570769476e-12,65748.0,42.800392766842,29.395295288096037,57.59423191517175,largest_PA_increase
Fresno,0.3152782704016592,0.014426490654227327,0.28700234871937363,0.3435541920839447,0.0,65748.0,37.06406666233701,33.242734296991514,40.994992853743554,largest_PA_increase
Philadelphia,0.3069371269461056,0.013619350258157166,0.2802432004401175,0.33363105345209365,0.0,71227.0,35.92555048407296,32.34516372225207,39.602798884080514,largest_PA_increase
St. Louis,0.2979024721570867,0.012448119453562046,0.27350415802810507,0.32230078628606834,0.0,38353.0,34.70304085030047,31.45628251898678,38.029988880120456,largest_PA_increase
Baltimore,0.2857890587691151,0.010321082326507507,0.2655597374091604,0.3060183801290698,0.0,49311.0,33.081170258355705,30.4160759080224,35.800726666734576,largest_PA_increase
San Bernardino,0.27908377921832395,0.08664070961929378,0.10926798836450813,0.44889957007213976,0.0012767186743136705,38353.0,32.19180884945676,11.546124092368725,56.658731704751574,largest_PA_increase
Cleveland,-13.970486887022366,4.229753736071273e-05,-13.970569790195594,-13.970403983849138,0.0,54790.0,-99.99991435645501,-99.99991436355484,-99.9999143493546,largest_PA_decrease
Detroit,-11.931807698890802,0.0014641304579147531,-11.934677394588315,-11.92893800319329,0.0,71227.0,-99.99934221834492,-99.99934410327224,-99.99934032800068,largest_PA_decrease
Newark,-11.496809815126092,0.004160839582632812,-11.504965060708052,-11.488654569544131,0.0,27395.0,-99.99898375379267,-99.99899200782748,-99.99897543216896,largest_PA_decrease
Corpus Christi,-10.196980501505708,2.886751345948129e-07,-10.196981067308972,-10.196979935702444,0.0,21916.0,-99.9962717275976,-99.99627172970708,-99.99627172548814,largest_PA_decrease
Miami,-5.251106967596809,2.886751345948129e-07,-5.251107533400073,-5.251106401793545,0.0,32874.0,-99.47582872197414,-99.47582901855186,-99.47582842539623,largest_PA_decrease
Chicago,-3.4983261597562834,0.081336561267993,-3.6577458198415496,-3.338906499671017,0.0,87664.0,-96.97520286558158,-97.4209416127202,-96.45242707590033,largest_PA_decrease
Milwaukee,-2.979966964196999,0.1389780813773083,-3.252364003696523,-2.7075699246974745,0.0,65748.0,-94.9205488125331,-96.1317346279156,-93.33013072162724,largest_PA_decrease
Cincinnati,-2.278070852511478,0.2328627375190342,-2.734481818048785,-1.821659886974171,0.0,60269.0,-89.75182815105455,-93.50723572789752,-83.82429704143428,largest_PA_decrease
Atlanta,-2.1010923784059377,0.03698993939382617,-2.173592659617837,-2.0285920971940383,0.0,65748.0,-87.76772674684555,-88.6231848427486,-86.84794409756522,largest_PA_decrease
Louisville,-1.6675609760319166,0.13572390708788884,-1.9335798339241785,-1.4015421181396546,0.0,76706.0,-81.12932348750962,-85.53704790177704,-75.37830246407236,largest_PA_decrease
St. Petersburg,-0.48043902761350876,0.002942670095266432,-0.48620666100023097,-0.47467139422678656,0.0,43832.0,-38.148821156459036,-38.504529297420596,-37.79105549353526,largest_PA_decrease
Cape Coral,-0.4505773559632706,0.050243706346606784,-0.5490550204026199,-0.3520996915239213,0.0,21916.0,-36.27398805409096,-42.25047261346502,-29.678998559613902,largest_PA_decrease
Charleston,-0.39152655149576243,0.01732365088584524,-0.4254809072320191,-0.3575721957595058,0.0,60269.0,-32.397589919464274,-34.65445419007682,-30.062779458750533,largest_PA_decrease
Tucson,-0.30982390233745627,0.01354789940921182,-0.33637778517951145,-0.2832700194954011,0.0,76706.0,-26.642387410821534,-28.564681721258623,-24.668364970588485,largest_PA_decrease
Charlotte,-0.30863215579326636,0.01881727176424186,-0.3455140084511804,-0.2717503031353523,0.0,115059.0,-26.554911615393106,-29.21435842376394,-23.795548253762856,largest_PA_decrease
