term,estimate,std.error,statistic,p.value,conf.low,conf.high,city,lag,pct,pct_low,pct_high,n_obs,city_key,city_order,panel_row,panel_col,significant_05,effect_direction
post1,-0.225721348712495,0.1490370292199586,-1.5145319917734053,0.1298909661746236,-0.5178285583464575,0.0663858609214673,Abilene,1,-20.20595821853285,-40.41870827035734,6.86389836450616,21916,abilene,1,1,1,False,not_significant
post2,-0.0014487215727106,0.315233898247893,-0.0045957036370859,0.9963331719294836,-0.6192958088447448,0.6163983656993236,Abilene,2,-0.1447672682190925,-46.16766132797009,85.22449051798071,21916,abilene,1,1,1,False,not_significant
post3,-0.0578353263413553,0.059310308065569,-0.9751311066773912,0.3294952302954055,-0.174081394061846,0.0584107413791354,Abilene,3,-5.619464547850184,-15.977149473582053,6.015035391280965,21916,abilene,1,1,1,False,not_significant
post4,0.8475121163884249,0.0879189519620086,9.639697670129758,5.4347802368873725e-22,0.6751941369843809,1.0198300957924689,Abilene,4,133.3833317563248,96.44143044228068,177.27236265308463,21916,abilene,1,1,1,True,significant_enhancement
post5,0.2955301382691331,0.2381305350125256,1.2410425998227752,0.2145900122354302,-0.1711971339746712,0.7622574105129376,Abilene,5,34.383859014319285,-15.734455891938993,114.31086400417465,21916,abilene,1,1,1,False,not_significant
post6,0.378615077670131,0.0443942413356463,8.528472754102951,1.482924143273725e-17,0.2916039635312848,0.4656261918089771,Abilene,6,46.02608405446716,33.857278901080925,59.301140732438085,21916,abilene,1,1,1,True,significant_enhancement
post7,-0.0124534774791537,0.0432726277534486,-0.2877911078132129,0.7735066444823104,-0.0972662693923215,0.0723593144340139,Abilene,7,-1.2376253828561778,-9.26856160832502,7.5041552621525565,21916,abilene,1,1,1,False,not_significant
post8,-0.221203378851238,0.4875280352310335,-0.4537244278606716,0.650027182643047,-1.1767407693576382,0.734334011655162,Abilene,8,-19.844635534769814,-69.17181352965909,108.40935481998316,21916,abilene,1,1,1,False,not_significant
post9,0.1465214011451705,0.2659399736477945,0.5509566656542596,0.5816633810575451,-0.3747113692540376,0.6677541715443787,Abilene,9,15.779970879296323,-31.251231976079676,94.98533635026874,21916,abilene,1,1,1,False,not_significant
post10,-0.115842862432593,0.3338212781421473,-0.347020606587172,0.7285758378039078,-0.7701205448643297,0.5384348199991437,Abilene,10,-10.93848385976235,-53.70427421723731,71.3323103393515,21916,abilene,1,1,1,False,not_significant
