city,city_order,model_available,n_obs,n_lags,n_significant_suppression,n_significant_enhancement,latest_significant_lag,strongest_suppression_lag,strongest_suppression_pct,strongest_suppression_pct_low,strongest_suppression_pct_high,status
Abilene,1,True,21916.0,12,0,2,6.0,1.0,-20.20595821853285,-40.41870827035734,6.86389836450616,12 lag estimates available
Amarillo,2,True,27395.0,12,0,11,12.0,3.0,21.33818579869125,-35.439301325266506,128.04826520069406,12 lag estimates available
Arlington,3,True,21916.0,12,2,7,12.0,12.0,-27.204874649036597,-33.52056515614559,-20.289179844729887,12 lag estimates available
Atlanta,4,True,65748.0,12,12,0,12.0,1.0,-93.9204478531701,-96.46724438137647,-89.5376419157957,12 lag estimates available
Aurora,5,False,,0,0,0,,,,,,No composite heatwave
Austin,6,True,120538.0,12,0,9,12.0,8.0,-2.0207593769203003,-7.973937895561722,4.317531072671654,12 lag estimates available
Bakersfield,7,True,76706.0,12,0,11,11.0,6.0,12.392244483193585,5.807985750364875,19.386230919970004,12 lag estimates available
Baltimore,8,True,49311.0,12,0,11,11.0,12.0,9.17156887497419,-2.4980138979961097,22.237832551990238,12 lag estimates available
Boston,9,True,43832.0,12,0,10,12.0,10.0,24.34845316502454,11.202013987835135,39.04908058792722,12 lag estimates available
Cape Coral,10,True,21916.0,12,10,0,12.0,2.0,-62.03494151644888,-79.12041513737287,-30.96866268450785,12 lag estimates available
Chandler,11,True,16437.0,12,2,0,12.0,12.0,-18.19905679345696,-28.40458309826277,-6.538789785052335,12 lag estimates available
Charleston,12,True,60269.0,12,11,0,12.0,1.0,-50.92550746158943,-62.20884888390528,-36.273287614230654,12 lag estimates available
Charlotte,13,True,115059.0,12,12,0,12.0,7.0,-38.17130027264821,-46.18051882715171,-28.97017907516337,12 lag estimates available
Chicago,14,True,87664.0,12,12,0,12.0,8.0,-98.94549332006169,-99.64293206284091,-96.88579056724676,12 lag estimates available
Cincinnati,15,True,60269.0,12,11,0,11.0,10.0,-95.43698189925708,-99.07145455850944,-77.57661256267218,12 lag estimates available
Clearwater,16,True,5479.0,12,4,8,12.0,11.0,-9.89417989571889,-9.894356499708024,-9.894003291383624,12 lag estimates available
Cleveland,17,True,54790.0,12,12,0,12.0,9.0,-99.9999169400774,-99.99991695954358,-99.9999169206067,12 lag estimates available
Columbia,18,True,60269.0,12,4,0,8.0,1.0,-35.52445345732502,-44.38466069695739,-25.252706284411357,12 lag estimates available
Columbus,19,True,109580.0,12,0,1,4.0,2.0,-20.892171066500108,-37.57242374511779,0.2449394001976079,12 lag estimates available
Corpus Christi,20,True,21916.0,12,12,0,12.0,2.0,-99.99627172759762,-99.99627173490488,-99.99627172029034,12 lag estimates available
Dallas,21,True,147933.0,12,1,8,12.0,12.0,-10.153048792538357,-16.819128973882545,-2.952751736136938,12 lag estimates available
Denver,22,False,,0,0,0,,,,,,No composite heatwave
Detroit,23,True,71227.0,12,9,0,12.0,12.0,-99.99934274858973,-99.99934463203554,-99.9993408597311,12 lag estimates available
Fort Worth,24,True,131496.0,12,2,7,11.0,10.0,-11.514272456074137,-21.369846667230156,-0.4233917001053466,12 lag estimates available
Fresno,25,True,65748.0,12,0,12,12.0,12.0,20.02882233047312,11.103213409076872,29.671480670812667,12 lag estimates available
Gilbert,26,True,5479.0,12,6,6,12.0,11.0,-32.51716966601893,-32.517301929806344,-32.51703740197228,12 lag estimates available
Henderson,27,True,21916.0,12,0,1,2.0,8.0,-13.473528794247423,-38.18680735540736,21.120264121721743,12 lag estimates available
Hollywood,28,False,,0,0,0,,,,,,No composite heatwave
Houston,29,True,295866.0,12,0,10,10.0,12.0,-5.217202089503948,-14.54872656750842,5.133351661977503,12 lag estimates available
Indianapolis,30,True,115059.0,12,2,0,9.0,9.0,-37.06338923839581,-50.7882924857213,-19.510677961979084,12 lag estimates available
Jacksonville,31,True,126017.0,12,5,0,9.0,6.0,-31.13645206613257,-48.79397023608239,-7.390042619909487,12 lag estimates available
Kansas City,32,True,197244.0,12,0,10,12.0,1.0,-2.515579126794532,-10.744351713996348,6.471831144320683,12 lag estimates available
Las Vegas,33,True,82185.0,12,0,9,12.0,5.0,1.4181396360744447,-13.457145721038463,18.850240530404115,12 lag estimates available
Long Beach,34,False,,0,0,0,,,,,,No composite heatwave
Los Angeles,35,True,208202.0,12,0,12,12.0,3.0,79.67001787024958,62.08819857687645,99.15894929380175,12 lag estimates available
Louisville,36,True,76706.0,12,11,0,12.0,8.0,-89.90705312406443,-96.79824876380326,-68.18379407843608,12 lag estimates available
Lubbock,37,True,32874.0,12,0,12,12.0,3.0,71.00875537464792,42.69752725985268,104.9369388267868,12 lag estimates available
Mesa,38,True,27395.0,12,6,0,12.0,12.0,-36.36848631059109,-54.15829283652221,-11.674983656994796,12 lag estimates available
Miami,39,True,32874.0,12,8,4,12.0,8.0,-99.98911452610008,-99.9891145474352,-99.98911450476491,12 lag estimates available
Milwaukee,40,True,65748.0,12,12,0,12.0,9.0,-97.07166036671698,-98.9708831441122,-91.66744480104904,12 lag estimates available
Minneapolis,41,True,38353.0,12,5,1,11.0,5.0,-39.70822524552374,-61.70449740043076,-5.077676064097703,12 lag estimates available
Miramar,42,True,16437.0,12,1,2,11.0,6.0,-22.32358752388678,-49.140514189279486,18.63322955356084,12 lag estimates available
Nashville,43,True,126017.0,12,0,4,12.0,1.0,-18.90868066435609,-36.6596961451078,3.817027569997711,12 lag estimates available
New York,44,True,164370.0,12,0,11,11.0,12.0,-9.331984127611667,-20.32905159475976,3.183020496025102,12 lag estimates available
Newark,45,True,27395.0,12,5,4,12.0,3.0,-99.99903089852938,-99.9990484431946,-99.99901303037818,12 lag estimates available
Oakland,46,False,,0,0,0,,,,,,No composite heatwave
Oklahoma City,47,True,115059.0,12,0,12,12.0,11.0,19.26472924983973,3.6551285077921936,37.225006112150936,12 lag estimates available
Orlando,48,True,65748.0,12,8,0,10.0,1.0,-42.42342579795852,-55.50983706269301,-25.487755540149735,12 lag estimates available
Overland Park,49,True,32874.0,12,0,12,12.0,1.0,12.180786404617638,7.533743752190936,17.028649791633832,12 lag estimates available
Palm Bay,50,True,5479.0,12,5,7,12.0,2.0,-43.61985655000088,-43.6199670529432,-43.61974604684199,12 lag estimates available
Philadelphia,51,True,71227.0,12,0,12,12.0,7.0,18.968650827590693,9.755585802810218,28.95507573679046,12 lag estimates available
Phoenix,52,True,180807.0,12,5,0,12.0,11.0,-22.200430857647454,-28.129196246366728,-15.782589833222673,12 lag estimates available
Pittsburgh,53,False,,0,0,0,,,,,,No composite heatwave
Portland,54,False,,0,0,0,,,,,,No composite heatwave
Raleigh,55,True,65748.0,12,4,2,12.0,1.0,-31.824693700543584,-41.83239800188424,-20.09516931478004,12 lag estimates available
Richmond,56,True,38353.0,12,2,6,12.0,6.0,-6.41784939517438,-11.005630362171814,-1.5935620706759024,12 lag estimates available
