city,mu,se,lo,hi,p,n_obs,pct,pct_lo,pct_hi,rank_by_overall_effect
Cleveland,-13.970486887022366,4.229753736071273e-05,-13.970569790195594,-13.970403983849138,0.0,54790.0,-99.99991435645501,-99.99991436355484,-99.9999143493546,1
Detroit,-11.931807698890802,0.0014641304579147531,-11.934677394588315,-11.92893800319329,0.0,71227.0,-99.99934221834492,-99.99934410327224,-99.99934032800068,2
Newark,-11.496809815126092,0.004160839582632812,-11.504965060708052,-11.488654569544131,0.0,27395.0,-99.99898375379267,-99.99899200782748,-99.99897543216896,3
Corpus Christi,-10.196980501505708,2.886751345948129e-07,-10.196981067308972,-10.196979935702444,0.0,21916.0,-99.9962717275976,-99.99627172970708,-99.99627172548814,4
Miami,-5.251106967596809,2.886751345948129e-07,-5.251107533400073,-5.251106401793545,0.0,32874.0,-99.47582872197414,-99.47582901855186,-99.47582842539623,5
Chicago,-3.4983261597562834,0.081336561267993,-3.6577458198415496,-3.338906499671017,0.0,87664.0,-96.97520286558158,-97.4209416127202,-96.45242707590033,6
Milwaukee,-2.979966964196999,0.1389780813773083,-3.252364003696523,-2.7075699246974745,0.0,65748.0,-94.9205488125331,-96.1317346279156,-93.33013072162724,7
Cincinnati,-2.278070852511478,0.2328627375190342,-2.734481818048785,-1.821659886974171,0.0,60269.0,-89.75182815105455,-93.50723572789752,-83.82429704143428,8
Atlanta,-2.1010923784059377,0.03698993939382617,-2.173592659617837,-2.0285920971940383,0.0,65748.0,-87.76772674684555,-88.6231848427486,-86.84794409756522,9
Louisville,-1.6675609760319166,0.13572390708788884,-1.9335798339241785,-1.4015421181396546,0.0,76706.0,-81.12932348750962,-85.53704790177704,-75.37830246407236,10
St. Petersburg,-0.48043902761350876,0.002942670095266432,-0.48620666100023097,-0.47467139422678656,0.0,43832.0,-38.148821156459036,-38.504529297420596,-37.79105549353526,11
Cape Coral,-0.4505773559632706,0.050243706346606784,-0.5490550204026199,-0.3520996915239213,0.0,21916.0,-36.27398805409096,-42.25047261346502,-29.678998559613902,12
Charleston,-0.39152655149576243,0.01732365088584524,-0.4254809072320191,-0.3575721957595058,0.0,60269.0,-32.397589919464274,-34.65445419007682,-30.062779458750533,13
Tucson,-0.30982390233745627,0.01354789940921182,-0.33637778517951145,-0.2832700194954011,0.0,76706.0,-26.642387410821534,-28.564681721258623,-24.668364970588485,14
Charlotte,-0.30863215579326636,0.01881727176424186,-0.3455140084511804,-0.2717503031353523,0.0,115059.0,-26.554911615393106,-29.21435842376394,-23.795548253762856,15
Orlando,-0.29178183481459286,0.028972171416820163,-0.34856729079156035,-0.23499637883762534,0.0,65748.0,-25.306852735762796,-29.430157357954347,-20.942628758066594,16
Mesa,-0.1973854442742718,0.030319270733949345,-0.2568112149128125,-0.13795967363573108,7.503553334231583e-11,27395.0,-17.912582892184194,-22.64857720666721,-12.886617930273747,17
Scottsdale,-0.17210492800979413,0.0027643228697753156,-0.17752300083455375,-0.1666868551850345,0.0,10958.0,-15.810916939554298,-16.26582604445572,-15.353536414873513,18
Jacksonville,-0.1492473912528893,0.036033277132281626,-0.21987261443216127,-0.07862216807361731,3.4439214180892463e-05,126017.0,-13.864400340093875,-19.737896621319585,-7.56108778053306,19
Columbia,-0.13952163817788935,0.026069837524806766,-0.19061851972651062,-0.08842475662926808,8.706364695854063e-08,60269.0,-13.022579732814277,-17.35521984431143,-8.46280161816203,20
Minneapolis,-0.13909094857150658,0.0409041999708762,-0.21926318051442395,-0.05891871662858923,0.0006728549555612418,38353.0,-12.98511139388231,-19.68896726512146,-5.721660134414163,21
Tallahassee,-0.12433298065984968,0.02202338448766315,-0.16749881425566945,-0.08116714706402992,1.6470345531871544e-08,27395.0,-11.691425855213488,-15.42223798357324,-7.796043764191285,22
Phoenix,-0.08700454254274342,0.012206472304753023,-0.11092922826005935,-0.0630798568254275,1.0202949596305189e-12,180807.0,-8.332706840227889,-10.499791245730151,-6.113150436213699,23
Chandler,-0.07853621580803277,0.004012867378011779,-0.08640143586893585,-0.07067099574712969,0.0,16437.0,-7.553142105130117,-8.27740500917794,-6.823160253049554,24
Tampa,-0.07409631066075974,0.03111769900998538,-0.13508700072033109,-0.013105620601188396,0.017258077898427704,54790.0,-7.141774283625368,-12.636009891911037,-1.3020115893857764,25
Indianapolis,-0.039662747722158276,0.043160396075964544,-0.12425712403104879,0.044931628586732233,0.3581156446230822,115059.0,-3.888647777499088,-11.684726810404378,4.595634395046888,26
Washington,-0.020856791937985505,0.012414504004858107,-0.045189219787507395,0.003475635911536386,0.09295065187901086,38353.0,-2.064079333867719,-4.418339469402143,0.3481682937755304,27
Raleigh,-0.01542470131764143,0.01534642016362078,-0.04550368483833816,0.0146542822030553,0.31484824797266575,65748.0,-1.5306349905371053,-4.448391835682298,1.4762182619940445,28
Gilbert,0.005780609914014319,2.886751345948129e-07,0.005780044110750514,0.005781175717278124,0.0,5479.0,0.5797349879696378,0.5796780796434087,0.5797918963280635,29
Riverside,0.008422062957953377,0.021161056844504127,-0.03305360845727471,0.049897734373181464,0.6906314978179195,32874.0,0.8457628304602727,-3.2513307270237823,5.116359297544193,30
Arlington,0.016735664767385992,0.00940055652717824,-0.0016894260258833553,0.03516075556065534,0.0750294178626818,21916.0,1.6876490512286901,-0.16879997490443222,3.578620380867781,31
Henderson,0.03694016996296386,0.014465128243043468,0.008588518606598667,0.06529182131932906,0.010657294405910678,21916.0,3.76309374835313,0.8625505744940032,6.747048958250446,32
Palm Bay,0.04187715596867953,2.886751345948129e-07,0.04187659016541573,0.041877721771943335,0.0,5479.0,4.2766373257410395,4.27657832569599,4.276696325819462,33
Columbus,0.05483658634738248,0.04332843217009828,-0.03008714070601015,0.1397603134007751,0.205655312612524,109580.0,5.636797562068474,-2.9639028075996277,14.999812668098468,34
San Antonio,0.058695472704085636,0.011394097809399014,0.03636304099766357,0.0810279044105077,2.5855909013827727e-07,98622.0,6.045225490602091,3.703226338691601,8.440115571958074,35
Miramar,0.06104313437657732,0.025486864968680148,0.011088879037964225,0.11099738971519041,0.016616643569472567,16437.0,6.294476265803883,1.115058854260087,11.739199013931323,36
Richmond,0.06841138793543404,0.010020134102946492,0.04877192509365892,0.08805085077720916,8.647083049595494e-12,38353.0,7.080573443994154,4.9980849145085715,9.204365188476205,37
