city,cluster,main_lag_days,strong_sensitivity_days,fixed_7day_control,is_outlier,outlier_assigned_by,cluster_ci_low,cluster_ci_median,cluster_ci_high,persistent_at_day12_fraction,plot_y
Arlington,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.78
Bakersfield,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.8058823529411763
Baltimore,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.8317647058823527
Chandler,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.857647058823529
Corpus Christi,1,12,12,7,1,assign_nearest (r=+nan),11.31693875364206,12.0,12.0,0.852,2.8835294117647057
Dallas,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.909411764705882
Detroit,1,12,12,7,1,assign_nearest (r=+0.72),11.31693875364206,12.0,12.0,0.852,2.935294117647059
Fort Worth,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.961176470588235
Fresno,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,2.987058823529412
Houston,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.012941176470588
Mesa,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.038823529411765
Miami,1,12,12,7,1,assign_nearest (r=+0.49),11.31693875364206,12.0,12.0,0.852,3.0647058823529414
New York,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.090588235294118
Oklahoma City,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.1164705882352943
Phoenix,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.142352941176471
Tucson,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.1682352941176473
Virginia Beach,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.1941176470588237
Visalia,1,12,12,7,0,,11.31693875364206,12.0,12.0,0.852,3.22
Abilene,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.78
Austin,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.8138461538461539
Boston,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.8476923076923077
Columbus,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.8815384615384616
Henderson,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.9153846153846155
Los Angeles,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.9492307692307693
Minneapolis,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,1.983076923076923
Newark,2,12,12,7,1,assign_nearest (r=+0.29),10.56266618932281,12.0,12.0,0.924,2.016923076923077
Philadelphia,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,2.0507692307692307
Sacramento,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,2.0846153846153848
San Antonio,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,2.1184615384615384
San Bernardino,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,2.1523076923076925
San Jose,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,2.186153846153846
Washington,2,12,12,7,0,,10.56266618932281,12.0,12.0,0.924,2.22
Atlanta,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,0.78
Charleston,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,0.8240000000000001
Cleveland,3,8,6,7,1,assign_nearest (r=+0.28),4.726931074372747,12.0,12.0,0.766,0.868
Columbia,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,0.912
Kansas City,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,0.956
Orlando,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,1.0
Overland Park,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,1.044
Raleigh,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,1.088
St. Louis,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,1.132
St. Petersburg,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,1.176
Tampa,3,8,6,7,0,,4.726931074372747,12.0,12.0,0.766,1.22
Amarillo,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.22
Cape Coral,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.1968421052631579
Charlotte,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.17368421052631577
Chicago,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.15052631578947367
Cincinnati,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.12736842105263158
Clearwater,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.10421052631578948
Gilbert,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.08105263157894735
Indianapolis,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.05789473684210525
Jacksonville,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.03473684210526315
Las Vegas,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,-0.01157894736842105
Louisville,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.01157894736842105
Lubbock,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.03473684210526315
Milwaukee,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.057894736842105304
Miramar,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.0810526315789474
Nashville,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.1042105263157895
Palm Bay,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.1273684210526316
Richmond,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.1505263157894737
Riverside,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.1736842105263158
Scottsdale,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.1968421052631579
Tallahassee,4,12,12,7,0,,10.485236524122998,12.0,12.0,0.92,0.22
