City,Group,Strong days,Overall days,Duration band,Group median strong,Group mean strong,Group median overall,Group mean overall,DLNM_lag_days_main,DLNM_lag_days_strong_sensitivity,DLNM_lag_days_7d_control,Main_lag_definition,Control_lag_definition
Abilene,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Amarillo,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Arlington,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Atlanta,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Aurora,5,0,0,No composite heatwave,0.0,0.0,0.0,0.0,0,0,0,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Austin,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Bakersfield,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Baltimore,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Boston,2,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Cape Coral,4,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Chandler,1,12,12,Persistent through 12d,12.0,12.0,12.0,12.0,12,12,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
Charleston,3,6,8,Attenuates ~6d strong / ~8d overall,6.0,6.0,8.0,8.0,8,6,7,cluster-level LOWESS FDR05 duration,fixed 7-day lag window for estimable heatwave groups
