,peak_lag,peak_val,early_auc,late_auc,ratio_early_late,monotone,decay_slope,n_sig,cluster,is_outlier,total_all_mean_avg,GDP_mean_avg,n_grids
Abilene,-0.285714286,0.619629192,0.342724088,0.205392807,0.673340033,1,0.470632648,-1.166666667,2,0,899.6704752,2157316615,4
Amarillo,0.285714286,0.663871089,0.694339767,1.398250928,0.116812881,-1,0.579674969,0.333333333,4,0,886.3579468,3741915115,7
Arlington,-0.571428571,0.351662395,0.483210304,0.062897317,2.130271374,-1,-1.261371325,0,1,0,1155.747682,6794616702,9
Atlanta,-0.714285714,-3.145542323,-4.740875944,-5.232219925,-0.630237355,2,1.014229267,0.5,3,0,1322.683314,6200262504,11
Austin,-0.571428571,0.051051967,0.221481486,0.165332937,0.538456076,1,-0.180050615,0,2,0,1263.077593,6713020191,20
Bakersfield,-0.714285714,0.102483086,0.454298638,0.448921478,0.39393246,-1,-0.261689108,0.333333333,1,0,1242.547814,3354320352,11
Baltimore,0.142857143,0.131879677,0.610956138,0.453730219,0.548779277,-1,-0.519430625,0.333333333,1,0,1221.264826,6736955682,10
Boston,-0.714285714,0.577983446,0.891982855,0.988073225,0.367350268,1,-0.725017502,0.166666667,2,0,2435.292938,21497753776,8
Cape Coral,-0.571428571,-1.254844013,-1.189320501,-1.429324765,-0.583330142,-1,0.145105306,0.166666667,4,0,918.5638618,2360040403,5
Chandler,0.857142857,-0.462511875,-0.131331258,-0.243245296,-0.309874136,-1,-0.318560709,-1.166666667,1,0,1495.277191,5381211068,8
Charleston,-0.714285714,-0.989908588,-1.171164973,-0.839605411,-0.896148986,2,0.975200169,0.333333333,3,0,874.5835067,2165281053,5
Charlotte,0.142857143,-0.75144359,-0.742540964,-0.936526018,-0.555488396,1,0,0.5,4,0,1174.706496,4104113512,21
Chicago,0.285714286,-4.953792192,-6.247324871,-9.461499465,-0.55263023,0,-0.919075829,0.5,4,0,2547.413867,13043986707,26
Cincinnati,0.571428571,-3.441725836,-4.948806958,-5.942036489,-0.591487186,1,0.902267601,0.333333333,4,0,1140.969026,5065268333,11
Clearwater,0.428571429,0.165172734,0.211936038,0.209016597,0.40836048,0,-0.141409864,0.5,4,0,1217.264463,4300515532,6
Cleveland,0.571428571,-10.66978551,-6.247324871,-13.00167594,-0.588245647,1,1.014229267,0.5,3,1,1184.073975,7020820087,11
Columbia,-0.714285714,-0.708175872,-0.443786482,-0.327095442,-0.88306613,1,0.647773227,-0.833333333,3,0,834.5939518,2653572248,6
Columbus,-0.285714286,0.11678417,-0.006085875,0.135910077,0.036643364,0,0.287945356,-1.166666667,2,0,1098.253517,5706072353,22
Corpus Christi,0.714285714,-10.66978551,-6.247324871,-13.00167594,-0.592172819,0,0.016274791,0.5,1,1,1042.526552,2433876561,6
Dallas,-0.571428571,0.244712162,0.514167781,0.203648727,1.01833943,-1,-0.968276401,0,1,0,1202.82272,6704274866,28
Detroit,0.857142857,-10.66978551,-4.084078025,-8.180293798,-0.414956217,-1,-1.261371325,0,1,1,1310.037016,5224971395,15
Fort Worth,-0.571428571,0.22947459,0.44428279,0.022433725,2.130271374,0,-0.992030721,0,1,0,1223.223907,4828445902,21
Fresno,-0.142857143,0.201712559,0.609266066,0.606454398,0.386794319,1,-0.143659669,0.5,1,0,1466.226319,4139873730,11
Gilbert,0.714285714,-0.661121261,0,-0.12820922,0.471695557,0,-0.271102258,0.5,4,0,1764.072811,5028890233,8
Henderson,0.142857143,0.030623121,0.112445505,0,1.45359513,1,-0.271629374,-1.166666667,2,0,1549.446081,4985061555,10
Houston,-0.428571429,0.09730783,0.45651479,0.117650442,1.40980227,-1,-0.69032304,0.166666667,1,0,1405.220576,6937801931,55
Indianapolis,0.428571429,-0.733111499,0.06414294,-0.249992126,0.245088972,0,-0.535211556,-1.166666667,4,0,1005.139422,4699325380,20
Jacksonville,0,-0.640215516,-0.572481926,-0.32967556,-1.129878744,0,0.364272279,-0.666666667,4,0,1117.262245,3339627007,17
Kansas City,0.857142857,0.156098681,0.258643591,0.733872575,0.068058829,0,0.652359174,0.166666667,3,0,973.4127008,2870169445,24
Las Vegas,0,0.061581318,0.286448071,0.297837032,0.378516273,0,0.031703589,0,4,0,2000.024568,6433919598,14
Los Angeles,0.285714286,0.663871089,0.891982855,1.398250928,0.231529222,0,0.181985027,0.5,2,0,2525.840654,13901494775,39
Louisville,0.285714286,-2.622319328,-3.566024012,-4.179545175,-0.601378733,-1,0.536352804,0.333333333,4,0,823.5131407,3614860552,19
Lubbock,0.857142857,0.663871089,0.891982855,1.398250928,0.17249233,2,1.014229267,0.5,4,0,1010.473519,3957853713,7
