"scope","support_percent","delta_log_rr"
"National pool",0,0
"National pool",0.910612109416553,-0.00050339125906214
"National pool",1.82122421883311,-0.001005768254225
"National pool",2.73183632824965,-0.0015061167215887
"National pool",3.64244843766622,-0.0020034223972545
"National pool",4.55306054708277,-0.0024966710173224
"National pool",5.46367265649933,-0.0029848483178934
"National pool",6.37428476591588,-0.0034669400350677
"National pool",7.28489687533242,-0.0039419319049461
"National pool",8.19550898474899,-0.0044088096636292
"National pool",9.10612109416553,-0.0048665590472176
"National pool",10.0167332035821,-0.0053141657918118
"National pool",10.9273453129986,-0.0057506156335123
"National pool",11.8379574224152,-0.00617489430841969
"National pool",12.7485695318318,-0.0065859875526349
"National pool",13.6591816412483,-0.006982881102258
"National pool",14.5697937506649,-0.00736456069338991
"National pool",15.4804058600814,-0.00773001206213129
"National pool",16.391017969498,-0.0080782209445824
"National pool",17.3016300789145,-0.00840817307684411
"National pool",18.2122421883311,-0.00871885419501661
"National pool",19.1228542977476,-0.0090092721564269
"National pool",20.0334664071642,-0.0092790715337689
"National pool",20.9440785165807,-0.0095286140132822
"National pool",21.8546906259973,-0.00975829955337611
"National pool",22.7653027354139,-0.00996852811245981
"National pool",23.6759148448304,-0.0101596996489419
"National pool",24.5865269542469,-0.0103322141212318
"National pool",25.4971390636635,-0.0104864714877394
"National pool",26.4077511730801,-0.0106228717068725
"National pool",27.3183632824965,-0.0107418147370407
"National pool",28.2289753919132,-0.0108437005366531
"National pool",29.1395875013296,-0.0109289290641181
"National pool",30.0501996107463,-0.0109979002778469
"National pool",30.9608117201627,-0.0110510141362459
"National pool",31.8714238295794,-0.0110886705977261
"National pool",32.7820359389961,-0.0111112696206962
"National pool",33.6926480484125,-0.011119211163564
"National pool",34.6032601578291,-0.0111128951847404
"National pool",35.5138722672456,-0.0110927216426331
"National pool",36.4244843766622,-0.0110590904956528
"National pool",37.3350964860786,-0.0110124017022065
"National pool",38.2457085954953,-0.0109530552207059
"National pool",39.1563207049117,-0.0108814510095575
"National pool",40.0669328143284,-0.0107979890271716
"National pool",40.9775449237448,-0.0107030692319566
"National pool",41.8881570331615,-0.010597091582323
"National pool",42.7987691425782,-0.0104804560366788
"National pool",43.7093812519946,-0.0103535625534332
"National pool",44.6199933614113,-0.0102168110909956
"National pool",45.5306054708277,-0.0100706016077749
"National pool",46.4412175802443,-0.00991533406218011
"National pool",47.3518296896607,-0.0097514084126204
"National pool",48.2624417990774,-0.00957922461750499
"National pool",49.1730539084938,-0.00939918263524291
"National pool",50.0836660179105,-0.009211682424243
"National pool",50.9942781273269,-0.0090171239429146
"National pool",51.9048902367436,-0.0088159071496668
"National pool",52.81550234616,-0.0086084320029087
"National pool",53.7261144555767,-0.0083950984610493
"National pool",54.6367265649933,-0.00817630648249769
"National pool",55.5473386744098,-0.0079524560256629
"National pool",56.4579507838264,-0.0077239470489544
"National pool",57.3685628932428,-0.00749117951078079
"National pool",58.2791750026595,-0.0072545533695513
"National pool",59.1897871120759,-0.0070144685836752
"National pool",60.1003992214926,-0.0067713251115615
"National pool",61.011011330909,-0.0065255229116192
"National pool",61.9216234403257,-0.0062774619422576
"National pool",62.8322355497421,-0.0060275421618854
"National pool",63.7428476591588,-0.0057761635289121
"National pool",64.6534597685754,-0.0055237260017466
"National pool",65.5640718779919,-0.0052706295387981
"National pool",66.4746839874085,-0.00501727409847531
"National pool",67.3852960968249,-0.004764049293557
"National pool",68.2959082062416,-0.0045111424730376
"National pool",69.206520315658,-0.0042585567608142
"National pool",70.1171324250747,-0.0040062885527618
"National pool",71.0277445344911,-0.0037543342447561
"National pool",71.9383566439078,-0.0035026902326722
"National pool",72.8489687533242,-0.0032513529123853
"National pool",73.7595808627409,-0.0030003186797707
"National pool",74.6701929721573,-0.0027495839307036
"National pool",75.580805081574,-0.0024991450610593
"National pool",76.4914171909906,-0.0022489984667131
"National pool",77.402029300407,-0.0019991405435403
"National pool",78.3126414098237,-0.0017495676874161
"National pool",79.2232535192401,-0.00150027629421561
"National pool",80.1338656286568,-0.00125126275981439
"National pool",81.0444777380732,-0.0010025234800873
"National pool",81.9550898474899,-0.000754054850909999
"National pool",82.8657019569063,-0.000505853268157601
"National pool",83.776314066323,-0.000257915127705302
"National pool",84.6869261757394,-1.0236825428396e-05
"National pool",85.5975382851561,0.000237185242797894
"National pool",86.5081503945727,0.000484354681098205
"National pool",87.4187625039892,0.000731275093597404
