"cluster","lag","n_cities","mean_standardized_response","ci_low","ci_high","series","cluster_label"
1,1,18,0.66141371313896,0.408447108825832,0.914380317452089,"Primary","C1"
1,2,18,0.647356647260159,0.264552220044334,1.03016107447598,"Primary","C1"
1,3,18,0.764558385868699,0.505753345602509,1.02336342613489,"Primary","C1"
1,4,18,0.305228635902469,-0.0484942268685276,0.658951498673465,"Primary","C1"
1,5,18,0.150958733179299,-0.22580962411061,0.527727090469209,"Primary","C1"
1,6,18,0.141180416136628,-0.213914515040719,0.496275347313975,"Primary","C1"
1,7,18,0.0785494146671579,-0.238177620751122,0.395276450085438,"Primary","C1"
1,8,18,-0.0761095478319029,-0.419276288177231,0.267057192513425,"Primary","C1"
1,9,18,-0.214936177343376,-0.565962907234838,0.136090552548086,"Primary","C1"
1,10,18,-0.341485333019958,-0.668744194960291,-0.014226471079624,"Primary","C1"
1,11,18,-0.380903806346404,-0.820570496809157,0.0587628841163487,"Primary","C1"
1,12,18,-1.73581108161173,-2.10886386122951,-1.36275830199396,"Primary","C1"
2,1,14,0.807446958232508,0.335649423705689,1.27924449275933,"Primary","C2"
2,2,14,0.491134286540268,-0.185144352154904,1.16741292523544,"Primary","C2"
2,3,14,-0.23501105748742,-0.766487630288524,0.296465515313684,"Primary","C2"
2,4,14,0.274864774769419,-0.599270083943812,1.14899963348265,"Primary","C2"
2,5,14,-0.512956809065267,-1.0248958299499,-0.00101778818063647,"Primary","C2"
2,6,14,-0.198982092527414,-0.559139270514098,0.16117508545927,"Primary","C2"
2,7,14,-0.465609391970242,-0.811210388337835,-0.12000839560265,"Primary","C2"
2,8,14,0.0596650369880833,-0.345621009986817,0.464951083962984,"Primary","C2"
2,9,14,0.413083369597529,-0.00640552232152641,0.832572261516584,"Primary","C2"
2,10,14,0.0806054085537335,-0.400679192996582,0.561890010104049,"Primary","C2"
2,11,14,-0.385353103934634,-0.657419612430824,-0.113286595438444,"Primary","C2"
2,12,14,-0.328887379696564,-0.606553131259929,-0.0512216281331988,"Primary","C2"
3,1,11,-1.81140752526486,-2.09573214676197,-1.52708290376776,"Primary","C3"
3,2,11,-0.512281625639843,-0.933331808402359,-0.0912314428773278,"Primary","C3"
3,3,11,-0.444879093703583,-0.844252080851427,-0.0455061065557388,"Primary","C3"
3,4,11,-0.492064668882456,-1.02158754804837,0.0374582102834577,"Primary","C3"
3,5,11,0.0952851101178183,-0.454455916370288,0.645026136605925,"Primary","C3"
3,6,11,0.242367753800916,-0.272459410254249,0.757194917856081,"Primary","C3"
3,7,11,0.605649746256948,0.284492892733642,0.926806599780253,"Primary","C3"
3,8,11,0.193155823990084,-0.441507347426115,0.827818995406284,"Primary","C3"
3,9,11,0.327516132777363,-0.0173568135113741,0.672389079066101,"Primary","C3"
3,10,11,0.625449552188953,0.120888571827972,1.13001053254993,"Primary","C3"
3,11,11,0.426454007022862,0.0984896669324714,0.754418347113254,"Primary","C3"
3,12,11,0.7447547873358,0.33060076718245,1.15890880748915,"Primary","C3"
4,1,20,-0.146555721258253,-0.410590207116515,0.117478764600008,"Primary","C4"
4,2,20,-0.435328464560362,-0.833097991953931,-0.0375589371667935,"Primary","C4"
4,3,20,0.165110671197173,-0.256742336048086,0.586963678442432,"Primary","C4"
4,4,20,0.307649204588277,0.0740022659195496,0.541296143257005,"Primary","C4"
4,5,20,-0.309266091851102,-0.734740799618925,0.116208615916722,"Primary","C4"
4,6,20,-0.126170800195254,-0.597331162861448,0.344989562470939,"Primary","C4"
4,7,20,-0.0293552548418994,-0.337484665552875,0.278774155869076,"Primary","C4"
4,8,20,-0.362626545312801,-0.807037719059078,0.0817846284334762,"Primary","C4"
4,9,20,-0.0555581400764225,-0.689168887076318,0.578052606923473,"Primary","C4"
