variable_only,coefficient,se,z_value,p_value,ci_low,ci_high,significant,n_coefs,direction,star_label,mode,source_root,partition,indicator,model_type,base_model,activity_type,source_summary,sig
Building Density,-0.008074855124254,0.0353868068729745,-0.2281882949552289,0.8194998606917482,-0.0774329965952841,0.061283286346776,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0205789716236079,0.0381147926448165,0.5399208600025418,0.5892516113890779,-0.0541260219602325,0.0952839652074483,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
NDVI,0.0989027925840916,0.0463276137337423,2.134856182157652,0.0327727594629954,0.0081006696659565,0.1897049155022266,sig,3,Positive,*,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,True
Population (20-55),0.024015222667156,0.0345236981591072,0.6956155900934637,0.4866696001640607,-0.0436512257246942,0.0916816710590062,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Street Intersection Density,-0.0681138885593969,0.0461204594214823,-1.4768692552891265,0.1397106876885089,-0.1585099890255022,0.0222822119067083,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Unemployment,-0.0205115925444538,0.0351951422493903,-0.5827961256445604,0.5600305534339883,-0.0894940713532589,0.0484708862643512,ns,3,Negative,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Urbanization Rate,0.0160678551723603,0.0381650606357283,0.4210095544121414,0.6737481050699853,-0.0587356636736671,0.0908713740183878,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Walkability Index,0.0350490479104028,0.0483499061442642,0.7249041560871923,0.4685108310130711,-0.059716768132355,0.1298148639531607,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_all,composite,all,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
Building Density,0.0051085726164551,0.0353489369298628,0.1445184229045217,0.8850911097842323,-0.064175343766076,0.0743924889989864,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
GDP,0.0536854554809081,0.0379415768085657,1.414950563382699,0.1570829913059046,-0.0206800350638808,0.128050946025697,ns,3,Positive,,MEAN_NO_CRIME_ACTIVITY_3PLUS1,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/lag_group_median_overall,CLUSTER_Arid_Desert,cehwi,composite_ride,composite,ride,EXTERNAL_DEVELOPMENT_ARCHIVE/dlnm/model_objects/city_level_covariates_SUMMARY.csv,False
