"model_id","city","activity","model_type","component","coefficient"
"Abilene__all","Abilene","all","composite_all",1,-2.73936956798633
"Abilene__all","Abilene","all","composite_all",2,-0.989483201026506
"Abilene__all","Abilene","all","composite_all",3,2.04100193963047
"Amarillo__all","Amarillo","all","composite_all",1,34.3259501225416
"Amarillo__all","Amarillo","all","composite_all",2,-165.448582904321
"Amarillo__all","Amarillo","all","composite_all",3,-283.67303265477
"Arlington__all","Arlington","all","composite_all",1,0.101144418601413
"Arlington__all","Arlington","all","composite_all",2,-0.185948234278583
"Arlington__all","Arlington","all","composite_all",3,-0.0121320445333139
"Atlanta__all","Atlanta","all","composite_all",1,6.47152570397723
"Atlanta__all","Atlanta","all","composite_all",2,-2.77258321794096
"Atlanta__all","Atlanta","all","composite_all",3,-0.963093206559392
"Austin__all","Austin","all","composite_all",1,0.47877787814523
"Austin__all","Austin","all","composite_all",2,-0.475928743115449
"Austin__all","Austin","all","composite_all",3,-0.891006054165395
"Bakersfield__all","Bakersfield","all","composite_all",1,-1.73181016382046
"Bakersfield__all","Bakersfield","all","composite_all",2,4.06499691607794
"Bakersfield__all","Bakersfield","all","composite_all",3,8.06772804813155
"Baltimore__all","Baltimore","all","composite_all",1,-1.78568143820803
"Baltimore__all","Baltimore","all","composite_all",2,3.74296274385311
"Baltimore__all","Baltimore","all","composite_all",3,5.97655957289525
"Boston__all","Boston","all","composite_all",1,7.23558181749388
"Boston__all","Boston","all","composite_all",2,-4.64088535742416
"Boston__all","Boston","all","composite_all",3,-1.54540439506716
"Cape_Coral__all","Cape_Coral","all","composite_all",1,6.41495718014494
"Cape_Coral__all","Cape_Coral","all","composite_all",2,-3.4128131360718
"Cape_Coral__all","Cape_Coral","all","composite_all",3,-3.07320037199474
"Chandler__all","Chandler","all","composite_all",1,2.13409037632577
"Chandler__all","Chandler","all","composite_all",2,-0.670023799380831
"Chandler__all","Chandler","all","composite_all",3,-2.52312291712255
"Charleston__all","Charleston","all","composite_all",1,0.748938943109912
"Charleston__all","Charleston","all","composite_all",2,1.22312376445979
"Charleston__all","Charleston","all","composite_all",3,2.27215317648985
"Charlotte__all","Charlotte","all","composite_all",1,-4.92241439292039
"Charlotte__all","Charlotte","all","composite_all",2,11.9423052239709
"Charlotte__all","Charlotte","all","composite_all",3,18.4249270583543
"Chicago__all","Chicago","all","composite_all",1,1.09582598684955
"Chicago__all","Chicago","all","composite_all",2,-1.47571727037333
"Chicago__all","Chicago","all","composite_all",3,-0.933460949225909
"Cincinnati__all","Cincinnati","all","composite_all",1,-17.3301520526852
"Cincinnati__all","Cincinnati","all","composite_all",2,15.3720720939878
"Cincinnati__all","Cincinnati","all","composite_all",3,22.3834460060389
"Clearwater__all","Clearwater","all","composite_all",1,0.00538816195406414
"Clearwater__all","Clearwater","all","composite_all",2,0.513272515248727
"Clearwater__all","Clearwater","all","composite_all",3,0.220679219791758
"Cleveland__all","Cleveland","all","composite_all",1,30497.8000726431
"Cleveland__all","Cleveland","all","composite_all",2,-2089738.2743787
"Cleveland__all","Cleveland","all","composite_all",3,-2753299.36108239
"Columbia__all","Columbia","all","composite_all",1,4.82478551627112
"Columbia__all","Columbia","all","composite_all",2,-16.243428839645
"Columbia__all","Columbia","all","composite_all",3,-31.2332740777278
"Columbus__all","Columbus","all","composite_all",1,14.555848641499
"Columbus__all","Columbus","all","composite_all",2,-20.280969519862
"Columbus__all","Columbus","all","composite_all",3,-26.1239405057846
"Corpus_Christi__all","Corpus_Christi","all","composite_all",1,8442.8108853436
"Corpus_Christi__all","Corpus_Christi","all","composite_all",2,-54233.0037538597
"Corpus_Christi__all","Corpus_Christi","all","composite_all",3,-93001.8642360089
"Dallas__all","Dallas","all","composite_all",1,0.336275929871335
"Dallas__all","Dallas","all","composite_all",2,-1.42857916745224
"Dallas__all","Dallas","all","composite_all",3,-2.22548157542087
"Detroit__all","Detroit","all","composite_all",1,70.7584164142537
"Detroit__all","Detroit","all","composite_all",2,-1278.18359659113
"Detroit__all","Detroit","all","composite_all",3,-1824.14916112987
"Fort_Worth__all","Fort_Worth","all","composite_all",1,0.763432572889226
"Fort_Worth__all","Fort_Worth","all","composite_all",2,-1.15849621719408
"Fort_Worth__all","Fort_Worth","all","composite_all",3,-1.15030040533905
"Fresno__all","Fresno","all","composite_all",1,0.222228712947669
"Fresno__all","Fresno","all","composite_all",2,-0.620399346989658
"Fresno__all","Fresno","all","composite_all",3,-0.41437060396878
"Gilbert__all","Gilbert","all","composite_all",1,-0.29438943282145
"Gilbert__all","Gilbert","all","composite_all",2,-0.627663590963027
"Gilbert__all","Gilbert","all","composite_all",3,-1.53261652394746
"Henderson__all","Henderson","all","composite_all",1,-0.270074036092218
"Henderson__all","Henderson","all","composite_all",2,-0.235508308967138
"Henderson__all","Henderson","all","composite_all",3,-0.321889756592528
"Houston__all","Houston","all","composite_all",1,-1.33864968883032
"Houston__all","Houston","all","composite_all",2,1.74210030574174
"Houston__all","Houston","all","composite_all",3,2.88582052194475
"Indianapolis__all","Indianapolis","all","composite_all",1,19.7266349177969
"Indianapolis__all","Indianapolis","all","composite_all",2,-32.4784736933328
"Indianapolis__all","Indianapolis","all","composite_all",3,-40.1031538322017
"Jacksonville__all","Jacksonville","all","composite_all",1,0.049507714869468
"Jacksonville__all","Jacksonville","all","composite_all",2,0.300990234510797
"Jacksonville__all","Jacksonville","all","composite_all",3,-0.734206112566364
"Kansas_City__all","Kansas_City","all","composite_all",1,-0.095304388997993
"Kansas_City__all","Kansas_City","all","composite_all",2,-1.44152984425776
"Kansas_City__all","Kansas_City","all","composite_all",3,-1.33703864362014
"Las_Vegas__all","Las_Vegas","all","composite_all",1,0.689588142105499
"Las_Vegas__all","Las_Vegas","all","composite_all",2,-1.53880035335933
"Las_Vegas__all","Las_Vegas","all","composite_all",3,-2.58723793955604
"Los_Angeles__all","Los_Angeles","all","composite_all",1,-0.948412157555119
"Los_Angeles__all","Los_Angeles","all","composite_all",2,-2.49402065286605
"Los_Angeles__all","Los_Angeles","all","composite_all",3,-6.13349671098822
"Louisville__all","Louisville","all","composite_all",1,17.2188688672527
