"model_id","city","activity","row_component","col_component","covariance"
"Abilene__all","Abilene","all",1,1,3.92409323000953
"Abilene__all","Abilene","all",2,1,-1.43311650437416
"Abilene__all","Abilene","all",3,1,-1.99380733539076
"Abilene__all","Abilene","all",1,2,-1.43311650437416
"Abilene__all","Abilene","all",2,2,2.04981921319143
"Abilene__all","Abilene","all",3,2,1.78558772690238
"Abilene__all","Abilene","all",1,3,-1.99380733539076
"Abilene__all","Abilene","all",2,3,1.78558772690238
"Abilene__all","Abilene","all",3,3,3.195204973508
"Amarillo__all","Amarillo","all",1,1,134.336220546921
"Amarillo__all","Amarillo","all",2,1,-1039.30126807113
"Amarillo__all","Amarillo","all",3,1,-1742.78750400763
"Amarillo__all","Amarillo","all",1,2,-1039.30126807113
"Amarillo__all","Amarillo","all",2,2,9914.20763467648
"Amarillo__all","Amarillo","all",3,2,16566.4044270678
"Amarillo__all","Amarillo","all",1,3,-1742.78750400763
"Amarillo__all","Amarillo","all",2,3,16566.4044270678
"Amarillo__all","Amarillo","all",3,3,27685.1248878665
"Arlington__all","Arlington","all",1,1,0.335335052914005
"Arlington__all","Arlington","all",2,1,-0.453232128889237
"Arlington__all","Arlington","all",3,1,-0.64607610760421
"Arlington__all","Arlington","all",1,2,-0.453232128889237
"Arlington__all","Arlington","all",2,2,0.725691904912266
"Arlington__all","Arlington","all",3,2,1.01616481406715
"Arlington__all","Arlington","all",1,3,-0.64607610760421
"Arlington__all","Arlington","all",2,3,1.01616481406715
"Arlington__all","Arlington","all",3,3,1.55054703908496
"Atlanta__all","Atlanta","all",1,1,535.723312398496
"Atlanta__all","Atlanta","all",2,1,-311.408343927998
"Atlanta__all","Atlanta","all",3,1,-464.751135905884
"Atlanta__all","Atlanta","all",1,2,-311.408343927998
"Atlanta__all","Atlanta","all",2,2,293.45457358292
"Atlanta__all","Atlanta","all",3,2,420.107205424611
"Atlanta__all","Atlanta","all",1,3,-464.751135905884
"Atlanta__all","Atlanta","all",2,3,420.107205424611
"Atlanta__all","Atlanta","all",3,3,641.130157132125
"Austin__all","Austin","all",1,1,0.0161934768780327
"Austin__all","Austin","all",2,1,-0.0138939059317663
"Austin__all","Austin","all",3,1,-0.023026492772639
"Austin__all","Austin","all",1,2,-0.0138939059317663
"Austin__all","Austin","all",2,2,0.0200455248876721
"Austin__all","Austin","all",3,2,0.0300084660931792
"Austin__all","Austin","all",1,3,-0.023026492772639
"Austin__all","Austin","all",2,3,0.0300084660931792
"Austin__all","Austin","all",3,3,0.0559825510732557
"Bakersfield__all","Bakersfield","all",1,1,0.327114310757304
"Bakersfield__all","Bakersfield","all",2,1,-0.493163848352907
"Bakersfield__all","Bakersfield","all",3,1,-0.951313037756495
"Bakersfield__all","Bakersfield","all",1,2,-0.493163848352907
"Bakersfield__all","Bakersfield","all",2,2,2.13193553084878
"Bakersfield__all","Bakersfield","all",3,2,3.96551304964784
"Bakersfield__all","Bakersfield","all",1,3,-0.951313037756495
"Bakersfield__all","Bakersfield","all",2,3,3.96551304964784
"Bakersfield__all","Bakersfield","all",3,3,7.49381198561618
"Baltimore__all","Baltimore","all",1,1,0.580199463337208
"Baltimore__all","Baltimore","all",2,1,-0.894467864615614
"Baltimore__all","Baltimore","all",3,1,-1.35174493187635
"Baltimore__all","Baltimore","all",1,2,-0.894467864615614
"Baltimore__all","Baltimore","all",2,2,2.39974238528839
"Baltimore__all","Baltimore","all",3,2,3.74901243675389
"Baltimore__all","Baltimore","all",1,3,-1.35174493187635
"Baltimore__all","Baltimore","all",2,3,3.74901243675389
"Baltimore__all","Baltimore","all",3,3,5.96466253726084
"Boston__all","Boston","all",1,1,317.599648174754
"Boston__all","Boston","all",2,1,-79.4426552727403
"Boston__all","Boston","all",3,1,340.080353318035
"Boston__all","Boston","all",1,2,-79.4426552727403
"Boston__all","Boston","all",2,2,20.6010959553662
"Boston__all","Boston","all",3,2,-82.1246129366019
"Boston__all","Boston","all",1,3,340.080353318035
"Boston__all","Boston","all",2,3,-82.1246129366019
"Boston__all","Boston","all",3,3,381.744055288402
"Cape_Coral__all","Cape_Coral","all",1,1,4.58181080654335
"Cape_Coral__all","Cape_Coral","all",2,1,-2.00411021177957
"Cape_Coral__all","Cape_Coral","all",3,1,-2.32333268255222
"Cape_Coral__all","Cape_Coral","all",1,2,-2.00411021177957
"Cape_Coral__all","Cape_Coral","all",2,2,1.34993566060611
"Cape_Coral__all","Cape_Coral","all",3,2,1.66439833918577
"Cape_Coral__all","Cape_Coral","all",1,3,-2.32333268255221
"Cape_Coral__all","Cape_Coral","all",2,3,1.66439833918577
"Cape_Coral__all","Cape_Coral","all",3,3,3.10505782933486
"Chandler__all","Chandler","all",1,1,0.550222846230585
"Chandler__all","Chandler","all",2,1,-0.216600983813318
"Chandler__all","Chandler","all",3,1,-0.417178975935162
"Chandler__all","Chandler","all",1,2,-0.216600983813318
"Chandler__all","Chandler","all",2,2,0.216946055779142
"Chandler__all","Chandler","all",3,2,0.338874686153533
"Chandler__all","Chandler","all",1,3,-0.417178975935162
"Chandler__all","Chandler","all",2,3,0.338874686153533
"Chandler__all","Chandler","all",3,3,0.714614766266859
"Charleston__all","Charleston","all",1,1,1.66404602347459
"Charleston__all","Charleston","all",2,1,-0.672578252785044
"Charleston__all","Charleston","all",3,1,-1.53238007148528
"Charleston__all","Charleston","all",1,2,-0.672578252785044
"Charleston__all","Charleston","all",2,2,0.935191634824137
"Charleston__all","Charleston","all",3,2,1.64501058110566
"Charleston__all","Charleston","all",1,3,-1.53238007148528
"Charleston__all","Charleston","all",2,3,1.64501058110566
"Charleston__all","Charleston","all",3,3,3.20156590113844
"Charlotte__all","Charlotte","all",1,1,2.90457172865125
