"model_id","city","activity_type","row_exposure","col_exposure","covariance"
"Abilene__all","Abilene","all",2,2,0.0361511155501041
"Abilene__all","Abilene","all",4,2,0.0690468929516208
"Abilene__all","Abilene","all",6,2,0.0954320150843299
"Abilene__all","Abilene","all",2,4,0.0690468929516208
"Abilene__all","Abilene","all",4,4,0.13192239899949
"Abilene__all","Abilene","all",6,4,0.182455114417162
"Abilene__all","Abilene","all",2,6,0.0954320150843299
"Abilene__all","Abilene","all",4,6,0.182455114417162
"Abilene__all","Abilene","all",6,6,0.252660386452671
"Amarillo__all","Amarillo","all",2,2,0.171715936714419
"Amarillo__all","Amarillo","all",4,2,0.272602514645403
"Amarillo__all","Amarillo","all",6,2,0.231830422226355
"Amarillo__all","Amarillo","all",2,4,0.272602514645403
"Amarillo__all","Amarillo","all",4,4,0.435632123505414
"Amarillo__all","Amarillo","all",6,4,0.379515883020729
"Amarillo__all","Amarillo","all",2,6,0.231830422226355
"Amarillo__all","Amarillo","all",4,6,0.379515883020729
"Amarillo__all","Amarillo","all",6,6,0.358911430394132
"Arlington__all","Arlington","all",2,2,0.000954612484446693
"Arlington__all","Arlington","all",4,2,0.00185889289485494
"Arlington__all","Arlington","all",6,2,0.00266250975752958
"Arlington__all","Arlington","all",2,4,0.00185889289485494
"Arlington__all","Arlington","all",4,4,0.00362024964657506
"Arlington__all","Arlington","all",6,4,0.00518653363175087
"Arlington__all","Arlington","all",2,6,0.00266250975752958
"Arlington__all","Arlington","all",4,6,0.00518653363175087
"Arlington__all","Arlington","all",6,6,0.00743358585942421
"Atlanta__all","Atlanta","all",2,2,1.67135821280159
"Atlanta__all","Atlanta","all",4,2,2.36621744690171
"Atlanta__all","Atlanta","all",6,2,1.16709163103773
"Atlanta__all","Atlanta","all",2,4,2.36621744690171
"Atlanta__all","Atlanta","all",4,4,3.80717435970167
"Atlanta__all","Atlanta","all",6,4,3.44643381609103
"Atlanta__all","Atlanta","all",2,6,1.16709163103773
