"model_id","city","activity_type","exposure","log_rr"
"Abilene__all","Abilene","all",2,-0.169571904524669
"Abilene__all","Abilene","all",4,-0.341253769040767
"Abilene__all","Abilene","all",6,-0.517155553539724
"Amarillo__all","Amarillo","all",2,-0.910491895928828
"Amarillo__all","Amarillo","all",4,-1.31485287496552
"Amarillo__all","Amarillo","all",6,-0.706952020217898
"Arlington__all","Arlington","all",2,-0.019456683937056
"Arlington__all","Arlington","all",4,-0.0381401807684922
"Arlington__all","Arlington","all",6,-0.0552773033886888
"Atlanta__all","Atlanta","all",2,-0.780370220030795
"Atlanta__all","Atlanta","all",4,-1.16508511281147
"Atlanta__all","Atlanta","all",6,-0.780929921362578
"Austin__all","Austin","all",2,-0.013381947037818
"Austin__all","Austin","all",4,-0.025179069858127
"Austin__all","Austin","all",6,-0.0338065442434179
"Bakersfield__all","Bakersfield","all",2,0.0465261800361051
"Bakersfield__all","Bakersfield","all",4,0.0752345236186427
"Bakersfield__all","Bakersfield","all",6,0.0683071942940456
"Baltimore__all","Baltimore","all",2,0.087964107757611
"Baltimore__all","Baltimore","all",4,0.120644335787049
"Baltimore__all","Baltimore","all",6,0.0427568043601396
"Boston__all","Boston","all",2,-0.479233715376918
"Boston__all","Boston","all",4,-0.75589555835822
"Boston__all","Boston","all",6,-0.627413656548292
"Cape_Coral__all","Cape_Coral","all",2,-1.1870825162796
"Cape_Coral__all","Cape_Coral","all",4,-0.456270760001558
"Cape_Coral__all","Cape_Coral","all",6,1.49952481017666
"Chandler__all","Chandler","all",2,-0.0208889806090853
"Chandler__all","Chandler","all",4,0.0146711187988799
"Chandler__all","Chandler","all",6,0.159690508035635
"Charleston__all","Charleston","all",2,-0.141236778433502
"Charleston__all","Charleston","all",4,-0.196739311268747
"Charleston__all","Charleston","all",6,-0.112408948279536
"Charlotte__all","Charlotte","all",2,0.190304836864353
"Charlotte__all","Charlotte","all",4,0.214968280989162
"Charlotte__all","Charlotte","all",6,-0.0915628085784599
"Chicago__all","Chicago","all",2,-0.157615601362818
"Chicago__all","Chicago","all",4,-0.28579420074668
"Chicago__all","Chicago","all",6,-0.355098796172631
"Cincinnati__all","Cincinnati","all",2,0.423427072811899
"Cincinnati__all","Cincinnati","all",4,0.473912194060074
"Cincinnati__all","Cincinnati","all",6,-0.2214865878192
"Clearwater__all","Clearwater","all",2,0.175452524771321
"Clearwater__all","Clearwater","all",4,0.226456064889144
"Clearwater__all","Clearwater","all",6,0.201589639019067
"Cleveland__all","Cleveland","all",2,-3074.14199417189
"Cleveland__all","Cleveland","all",4,-4725.35215080378
"Cleveland__all","Cleveland","all",6,-3530.69863235578
"Columbia__all","Columbia","all",2,0.0150051810541889
"Columbia__all","Columbia","all",4,0.102844585127137
"Columbia__all","Columbia","all",6,0.333782830673691
"Columbus__all","Columbus","all",2,-0.268404831556573
"Columbus__all","Columbus","all",4,-0.268099289577121
"Columbus__all","Columbus","all",6,0.269626999474381
"Corpus_Christi__all","Corpus_Christi","all",2,-658.094226662623
"Corpus_Christi__all","Corpus_Christi","all",4,-378.075739004202
"Corpus_Christi__all","Corpus_Christi","all",6,79.5344094429383
"Dallas__all","Dallas","all",2,-0.0267971241260481
"Dallas__all","Dallas","all",4,-0.0528494794903413
"Dallas__all","Dallas","all",6,-0.0774122973311246
"Detroit__all","Detroit","all",2,-3.30125580328084
"Detroit__all","Detroit","all",4,-4.96507828257887
"Detroit__all","Detroit","all",6,-3.35403411391155
"Fort_Worth__all","Fort_Worth","all",2,-0.0635916948757283
"Fort_Worth__all","Fort_Worth","all",4,-0.123404667663137
"Fort_Worth__all","Fort_Worth","all",6,-0.175660196273906
"Fresno__all","Fresno","all",2,-0.060086718415918
"Fresno__all","Fresno","all",4,-0.116868928418436
"Fresno__all","Fresno","all",6,-0.167042121594153
"Gilbert__all","Gilbert","all",2,0.101230394746326
"Gilbert__all","Gilbert","all",4,0.175777159993411
"Gilbert__all","Gilbert","all",6,0.19810338512152
"Henderson__all","Henderson","all",2,0.0119706925648296
"Henderson__all","Henderson","all",4,0.0198180726974706
"Henderson__all","Henderson","all",6,0.0194188279657341
"Houston__all","Houston","all",2,0.055156760634659
"Houston__all","Houston","all",4,0.100471406659048
"Houston__all","Houston","all",6,0.126185755670954
"Indianapolis__all","Indianapolis","all",2,-0.157191664401217
"Indianapolis__all","Indianapolis","all",4,-0.134191869442486
"Indianapolis__all","Indianapolis","all",6,0.249190844236141
"Jacksonville__all","Jacksonville","all",2,0.231918577102123
"Jacksonville__all","Jacksonville","all",4,0.386008382120856
"Jacksonville__all","Jacksonville","all",6,0.432227372663259
"Kansas_City__all","Kansas_City","all",2,-0.0981670217374056
"Kansas_City__all","Kansas_City","all",4,-0.187848058304163
"Kansas_City__all","Kansas_City","all",6,-0.260564327581922
"Las_Vegas__all","Las_Vegas","all",2,-0.0543639296917205
"Las_Vegas__all","Las_Vegas","all",4,-0.0907488569954131
"Las_Vegas__all","Las_Vegas","all",6,-0.0912655447087546
"Los_Angeles__all","Los_Angeles","all",2,0.278509750424358
"Los_Angeles__all","Los_Angeles","all",4,0.51913904106252
"Los_Angeles__all","Los_Angeles","all",6,0.684007412128287
"Louisville__all","Louisville","all",2,-0.917997159441573
"Louisville__all","Louisville","all",4,-1.42947862378271
"Louisville__all","Louisville","all",6,-1.12792869792298
"Lubbock__all","Lubbock","all",2,-0.580598206686817
"Lubbock__all","Lubbock","all",4,-1.1023337834728
"Lubbock__all","Lubbock","all",6,-1.50634410045713
"Mesa__all","Mesa","all",2,0.104088073278059
"Mesa__all","Mesa","all",4,0.134821262542342
"Mesa__all","Mesa","all",6,0.0231256459053286
"Miami__all","Miami","all",2,0.926628260039024
"Miami__all","Miami","all",4,-21.5449971616373
"Miami__all","Miami","all",6,-265.31533064839
"Milwaukee__all","Milwaukee","all",2,-0.155447052730796
"Milwaukee__all","Milwaukee","all",4,-0.235299772103568
"Milwaukee__all","Milwaukee","all",6,-0.163963824760295
"Minneapolis__all","Minneapolis","all",2,2.3336703800139
"Minneapolis__all","Minneapolis","all",4,4.11893473658544
"Minneapolis__all","Minneapolis","all",6,4.80738704627225
"Miramar__all","Miramar","all",2,-0.673781855833539
"Miramar__all","Miramar","all",4,-4.27102554505793
"Miramar__all","Miramar","all",6,-3.47249490402387
"Nashville__all","Nashville","all",2,-0.0742151350380576
"Nashville__all","Nashville","all",4,-0.131463997842142
"Nashville__all","Nashville","all",6,-0.155052726331938
"New_York__all","New_York","all",2,-0.0960436053921277
"New_York__all","New_York","all",4,-0.176584928825107
"New_York__all","New_York","all",6,-0.226121688339789
"Newark__all","Newark","all",2,0.121020730017817
"Newark__all","Newark","all",4,0.549712130684737
"Newark__all","Newark","all",6,1.59374487264987
"Oklahoma_City__all","Oklahoma_City","all",2,-0.0489875070722903
"Oklahoma_City__all","Oklahoma_City","all",4,-0.0939026328329469
"Oklahoma_City__all","Oklahoma_City","all",6,-0.130672995970343
"Orlando__all","Orlando","all",2,0.121405430629268
"Orlando__all","Orlando","all",4,0.226574257976
"Orlando__all","Orlando","all",6,0.293790726480086
"Overland_Park__all","Overland_Park","all",2,-0.0819340725677511
"Overland_Park__all","Overland_Park","all",4,-0.145971686636535
"Overland_Park__all","Overland_Park","all",6,-0.174226776343423
"Palm_Bay__all","Palm_Bay","all",2,1.34035908769771
"Palm_Bay__all","Palm_Bay","all",4,-2.04488793782998
"Palm_Bay__all","Palm_Bay","all",6,-7.79339423880608
"Philadelphia__all","Philadelphia","all",2,0.0300709818973147
"Philadelphia__all","Philadelphia","all",4,0.0237013557286723
"Philadelphia__all","Philadelphia","all",6,-0.055549486571884
"Phoenix__all","Phoenix","all",2,-0.111682328933669
"Phoenix__all","Phoenix","all",4,-0.186303417208943
"Phoenix__all","Phoenix","all",6,-0.191225582092107
"Raleigh__all","Raleigh","all",2,-0.0293568107682699
