"metric","activity_type","predictor","variable_only","coefficient","se","ci_low","ci_high","joint_wald","joint_df","joint_p","significant","star_label","estimand","n_grid_rows","n_cities"
"gini","all","NDVI_2023","NDVI",0.0150262804793768,0.00629875619365923,0.00268071833980475,0.0273718426189489,12.7053338606331,3,0.00531917199697635,TRUE,"**","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","total_20_55","Population (20-55)",-0.00160855712333924,0.00801653116439465,-0.0173209582055528,0.0141038439588743,0.255098388329501,3,0.968239511755238,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","GDP","GDP",-0.0114940109253318,0.00490064863070438,-0.0210992822415124,-0.00188873960915118,5.562384204425,3,0.134954600276936,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","Unemployment","Unemployment",-0.00211232146218695,0.00519879038111,-0.0123019506091625,0.00807730768478864,1.692667987958,3,0.638565098309409,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","BD","Building Density",0.00748702740884713,0.00656139849527966,-0.00537331364190101,0.0203473684595953,2.39026202034499,3,0.495449918796373,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","Urbanization_Rate","Urbanization Rate",-0.0160585128265761,0.00499545705229243,-0.0258496086490693,-0.00626741700408297,14.3661988176396,3,0.00244678968665334,TRUE,"**","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","Street_Intersection_Density","Street Intersection Density",-0.012578671271919,0.00648710376992845,-0.0252933946609788,0.000136052117140737,11.3001650021611,3,0.0102087181120991,TRUE,"*","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","Walkability_Index","Walkability Index",0.019589857087114,0.00534759778740546,0.0091085654237993,0.0300711487504287,14.7295014437079,3,0.00206302539906057,TRUE,"**","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","NDVI_2023","NDVI",0.00539381962655795,0.00470384519257028,-0.00382571695087979,0.0146133562039957,4.95868124165487,3,0.174847830079831,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","total_20_55","Population (20-55)",-0.00128694616498943,0.00535508906802731,-0.011782920738323,0.0092090284083441,0.0760076191195164,3,0.994552175320721,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","ride","GDP","GDP",-0.00868558556549659,0.00321189617805398,-0.0149809020744824,-0.00239026905651079,7.33330573191741,3,0.0619998379592046,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
