"metric","activity_type","predictor","variable_only","coefficient","se","ci_low","ci_high","joint_wald","joint_df","joint_p","significant","star_label","estimand","n_grid_rows","n_cities"
"mean","all","NDVI_2023","NDVI",0.0198010661989045,0.0059192551365093,0.00819932613134624,0.0314028062664627,11.3213629177045,3,0.0101092120216038,TRUE,"*","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","total_20_55","Population (20-55)",0.00579327338697405,0.00990780759668887,-0.0136260295025361,0.0252125762764842,2.85912413515834,3,0.413859284196817,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","GDP","GDP",-0.0176529052944207,0.00843279495456752,-0.0341811834053731,-0.0011246271834684,5.94585435778351,3,0.114274450576614,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","Unemployment","Unemployment",0.0106132074488305,0.00632112794461838,-0.00177620332262155,0.0230026182202825,23.853577611485,3,2.68014069337137e-05,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","BD","Building Density",0.0303294612141929,0.00693786891326222,0.0167312381441989,0.0439276842841868,19.166824156987,3,0.00025252039715,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","Urbanization_Rate","Urbanization Rate",0.0344240160321069,0.00540545993070529,0.0238293145679246,0.0450187174962893,40.9957907118615,3,6.55265878524607e-09,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","Street_Intersection_Density","Street Intersection Density",-0.012239777762718,0.0081033265562834,-0.0281222978130335,0.00364274228759748,17.0969675398184,3,0.000675018569932649,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"mean","all","Walkability_Index","Walkability Index",-0.0155311408324445,0.0069415109855877,-0.0291365023641964,-0.0019257793006926,35.7812805104034,3,8.32965355665032e-08,TRUE,"***","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",832,63
"gini","all","NDVI_2023","NDVI",0.0150262804793768,0.00629875619365923,0.00268071833980475,0.0273718426189489,12.7053338606331,3,0.00531917199697635,TRUE,"**","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","total_20_55","Population (20-55)",-0.00160855712333924,0.00801653116439465,-0.0173209582055528,0.0141038439588743,0.255098388329501,3,0.968239511755238,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","GDP","GDP",-0.0114940109253318,0.00490064863070438,-0.0210992822415124,-0.00188873960915118,5.562384204425,3,0.134954600276936,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
"gini","all","Unemployment","Unemployment",-0.00211232146218695,0.00519879038111,-0.0123019506091625,0.00807730768478864,1.692667987958,3,0.638565098309409,FALSE,"","Mean predictor-associated log-RR modification across CEHWI 2, 4 and 6 versus 0",804,63
