"metric","activity_type","predictor","variable_only","exposure","coefficient","se","ci_low","ci_high","joint_p"
"mean","all","NDVI_2023","NDVI",2,0.0108187465923519,0.00324891410810678,0.00445087494046261,0.0171866182442412,0.0101092120216038
"mean","all","NDVI_2023","NDVI",4,0.0205329205570334,0.00614920865837019,0.00848047158662787,0.032585369527439,0.0101092120216038
"mean","all","NDVI_2023","NDVI",6,0.0280515314473281,0.00836586133686597,0.0116544432270708,0.0444486196675854,0.0101092120216038
"mean","all","total_20_55","Population (20-55)",2,0.0027502186695245,0.00545865208708193,-0.00794873942115608,0.0134491767602051,0.413859284196817
"mean","all","total_20_55","Population (20-55)",4,0.00567616722094222,0.0103078755606176,-0.0145272688778683,0.0258796033197528,0.413859284196817
"mean","all","total_20_55","Population (20-55)",6,0.00895343427045544,0.0139750358586314,-0.0184376360124621,0.0363445045533729,0.413859284196817
"mean","all","GDP","GDP",2,-0.0101633594877345,0.00468269179163599,-0.0193414353993411,-0.000985283576127973,0.114274450576614
"mean","all","GDP","GDP",4,-0.018722466511217,0.00880080305967962,-0.035972040508189,-0.00147289251424489,0.114274450576614
"mean","all","GDP","GDP",6,-0.0240728898843108,0.0118411764574483,-0.0472815957409095,-0.000864184027712038,0.114274450576614
"mean","all","Unemployment","Unemployment",2,0.00640836237264928,0.00346553367317232,-0.000384083626768474,0.013200808372067,2.68014069337137e-05
"mean","all","Unemployment","Unemployment",4,0.0114931748635807,0.0065636183066635,-0.0013715170174798,0.0243578667446411,2.68014069337137e-05
"mean","all","Unemployment","Unemployment",6,0.0139380851102615,0.00894051096396705,-0.00358531637911393,0.0314614865996369,2.68014069337137e-05
"mean","all","BD","Building Density",2,0.0166570358019224,0.00380522947203932,0.00919878603672532,0.0241152855671195,0.00025252039715
"mean","all","BD","Building Density",4,0.0315215218510244,0.00720525702030883,0.0173992180912191,0.0456438256108297,0.00025252039715
"mean","all","BD","Building Density",6,0.0428098259896318,0.00981017131500216,0.0235818902122275,0.062037761767036,0.00025252039715
"mean","all","Urbanization_Rate","Urbanization Rate",2,0.0188976966227032,0.00295863530279895,0.0130987714292172,0.0246966218161891,6.55265878524607e-09
"mean","all","Urbanization_Rate","Urbanization Rate",4,0.0357708157058187,0.00560905686264838,0.0247770642550279,0.0467645671566095,6.55265878524607e-09
"mean","all","Urbanization_Rate","Urbanization Rate",6,0.0486035357677989,0.00765322501110577,0.0336032147460316,0.0636038567895662,6.55265878524607e-09
"mean","all","Street_Intersection_Density","Street Intersection Density",2,-0.00604243152209662,0.00444281014339049,-0.014750339403142,0.00266547635894874,0.000675018569932649
"mean","all","Street_Intersection_Density","Street Intersection Density",4,-0.012178508774237,0.00841423931788616,-0.0286704178372939,0.00431340028881988,0.000675018569932649
"mean","all","Street_Intersection_Density","Street Intersection Density",6,-0.0184983929918204,0.0114615916388039,-0.0409631126038761,0.00396632662023534,0.000675018569932649
"mean","all","Walkability_Index","Walkability Index",2,-0.00918777224862466,0.00380066805661642,-0.0166370816395928,-0.00173846285765648,8.32965355665032e-08
"mean","all","Walkability_Index","Walkability Index",4,-0.0166663227023052,0.00720407948848445,-0.0307863184997347,-0.00254632690487565,8.32965355665032e-08
"mean","all","Walkability_Index","Walkability Index",6,-0.0207393275464036,0.0098250373844869,-0.0399964008199979,-0.00148225427280929,8.32965355665032e-08
"gini","all","NDVI_2023","NDVI",2,0.00869573291811693,0.00346219411266118,0.00190983245730102,0.0154816333789328,0.00531917199697635
"gini","all","NDVI_2023","NDVI",4,0.0159709275753818,0.00654673253236372,0.0031393318119489,0.0288025233388147,0.00531917199697635
"gini","all","NDVI_2023","NDVI",6,0.0204121809446318,0.00889799884112827,0.00297210321602039,0.0378522586732432,0.00531917199697635
"gini","all","total_20_55","Population (20-55)",2,-0.000799327872078501,0.00438090329824474,-0.00938589833663819,0.00778724259248119,0.968239511755238
"gini","all","total_20_55","Population (20-55)",4,-0.00160433581208943,0.00831257184360515,-0.0178969766255555,0.0146883050013767,0.968239511755238
"gini","all","total_20_55","Population (20-55)",6,-0.00242200768584979,0.0113647683356577,-0.0246969536237389,0.0198529382520393,0.968239511755238
"gini","all","GDP","GDP",2,-0.00624041503619675,0.00267250241941313,-0.0114785197782465,-0.00100231029414702,0.134954600276936
"gini","all","GDP","GDP",4,-0.0118883066198824,0.00507732607265738,-0.0218398657222908,-0.00193674751747389,0.134954600276936
"gini","all","GDP","GDP",6,-0.0163533111199162,0.00695651105942232,-0.0299880727963839,-0.00271854944344847,0.134954600276936
"gini","all","Unemployment","Unemployment",2,-0.00127822791635646,0.00284202641996422,-0.00684859969948632,0.00429214386677341,0.638565098309409
"gini","all","Unemployment","Unemployment",4,-0.00228939326052513,0.00539174481987317,-0.0128572131074765,0.00827842658642628,0.638565098309409
"gini","all","Unemployment","Unemployment",6,-0.00276934320967925,0.00736719640603768,-0.0172090481655131,0.0116703617461546,0.638565098309409
"gini","all","BD","Building Density",2,0.00395270801198171,0.00359168906776918,-0.00308700256084588,0.0109924185848093,0.495449918796373
"gini","all","BD","Building Density",4,0.00765441636256728,0.00680858869168047,-0.00569041747312645,0.020999250198261,0.495449918796373
"gini","all","BD","Building Density",6,0.0108539578519924,0.00929065631718622,-0.00735572852969259,0.0290636442336774,0.495449918796373
"gini","all","Urbanization_Rate","Urbanization Rate",2,-0.0085662714829539,0.00273209394262197,-0.013921175610493,-0.00321136735541485,0.00244678968665334
"gini","all","Urbanization_Rate","Urbanization Rate",4,-0.016487537087503,0.0051817148058606,-0.0266436981069898,-0.00633137606801626,0.00244678968665334
"gini","all","Urbanization_Rate","Urbanization Rate",6,-0.0231217299092715,0.00707774598793023,-0.0369941120456147,-0.00924934777292821,0.00244678968665334
"gini","all","Street_Intersection_Density","Street Intersection Density",2,-0.00722175857814508,0.00354382505035825,-0.0141676556768473,-0.000275861479442901,0.0102087181120991
"gini","all","Street_Intersection_Density","Street Intersection Density",4,-0.0133232417389591,0.00672583906041713,-0.0265058862973766,-0.000140597180541492,0.0102087181120991
"gini","all","Street_Intersection_Density","Street Intersection Density",6,-0.0171910134986529,0.00919774020475434,-0.0352185842999714,0.000836557302665603,0.0102087181120991
"gini","all","Walkability_Index","Walkability Index",2,0.0108219407994067,0.00292342281437563,0.0050920320832305,0.016551849515583,0.00206302539906057
"gini","all","Walkability_Index","Walkability Index",4,0.0204100537474875,0.0055461010283875,0.00953969573184801,0.031280411763127,0.00206302539906057
"gini","all","Walkability_Index","Walkability Index",6,0.0275375767144477,0.00757809541339094,0.0126845097042015,0.042390643724694,0.00206302539906057
"mean","ride","NDVI_2023","NDVI",2,-0.000447461021254001,0.00228790981296216,-0.00493176425465984,0.00403684221215184,0.103440053439158
"mean","ride","NDVI_2023","NDVI",4,-0.00120036249915917,0.00426873631685214,-0.00956708568018937,0.00716636068187104,0.103440053439158
"mean","ride","NDVI_2023","NDVI",6,-0.00255708022502403,0.00565732422710701,-0.0136454357101538,0.00853127526010572,0.103440053439158
"mean","ride","total_20_55","Population (20-55)",2,0.00386876297003585,0.00402522715648882,-0.00402068225668224,0.0117582081967539,0.811577724303002
"mean","ride","total_20_55","Population (20-55)",4,0.00721827077005937,0.00745794784847529,-0.00739930701295219,0.0218358485530709,0.811577724303002
"mean","ride","total_20_55","Population (20-55)",6,0.00952910161337003,0.00975944441592848,-0.00959940944184979,0.0286576126685899,0.811577724303002
"mean","ride","GDP","GDP",2,-0.0123460228850323,0.00354818859433294,-0.0193004725299248,-0.00539157324013972,0.00445531409531385
"mean","ride","GDP","GDP",4,-0.0223426257611299,0.00652067781516486,-0.035123154278853,-0.00956209724340676,0.00445531409531385
"mean","ride","GDP","GDP",6,-0.0276399661598792,0.00841101569572609,-0.0441255569235023,-0.011154375396256,0.00445531409531385
"mean","ride","Unemployment","Unemployment",2,0.00589759425225925,0.00243380641574424,0.00112733367740054,0.010667854827118,0.000302218817002976
"mean","ride","Unemployment","Unemployment",4,0.010466641841265,0.00453813154104569,0.00157190402081544,0.0193613796617145,0.000302218817002976
"mean","ride","Unemployment","Unemployment",6,0.0123827128415219,0.0060038692421696,0.000615129126869448,0.0241502965561743,0.000302218817002976
"mean","ride","BD","Building Density",2,0.0048649546028604,0.00272278658836681,-0.000471707110338546,0.0102016163160594,0.342277695798318
"mean","ride","BD","Building Density",4,0.00913625418221599,0.00508066210049783,-0.000821843534759769,0.0190943518991917,0.342277695798318
"mean","ride","BD","Building Density",6,0.0122221703868277,0.00673165918513021,-0.000971881616027476,0.0254162223896829,0.342277695798318
"mean","ride","Urbanization_Rate","Urbanization Rate",2,0.0140582474625763,0.00194851453743465,0.0102391589692044,0.0178773359559482,2.8784734474921e-11
"mean","ride","Urbanization_Rate","Urbanization Rate",4,0.0262334868917261,0.0036352943736964,0.0191083099192812,0.0333586638641711,2.8784734474921e-11
"mean","ride","Urbanization_Rate","Urbanization Rate",6,0.0346495539301371,0.00481507538918946,0.0252120061673258,0.0440871016929485,2.8784734474921e-11
"mean","ride","Street_Intersection_Density","Street Intersection Density",2,-0.0113792650447203,0.00313719731653919,-0.0175281717851371,-0.00523035830430349,0.000177895320404926
"mean","ride","Street_Intersection_Density","Street Intersection Density",4,-0.0217146340388686,0.00584875809464537,-0.0331781999043735,-0.0102510681733636,0.000177895320404926
"mean","ride","Street_Intersection_Density","Street Intersection Density",6,-0.0299608787053409,0.00773738827776139,-0.0451261597297532,-0.0147955976809286,0.000177895320404926
"mean","ride","Walkability_Index","Walkability Index",2,-0.00515170600081784,0.00245630785433141,-0.00996606939530741,-0.000337342606328281,0.000264629262773921
"mean","ride","Walkability_Index","Walkability Index",4,-0.00906744972420994,0.00458032692616688,-0.018044890499497,-9.00089489228508e-05,0.000264629262773921
"mean","ride","Walkability_Index","Walkability Index",6,-0.0105212872337661,0.00605838662506147,-0.0223957250188866,0.0013531505513544,0.000264629262773921
"gini","ride","NDVI_2023","NDVI",2,0.00338761372917598,0.00267239176383597,-0.00185027412794252,0.00862550158629447,0.174847830079831
"gini","ride","NDVI_2023","NDVI",4,0.00594578889746676,0.00495740820429865,-0.0037707311829586,0.0156623089778921,0.174847830079831
"gini","ride","NDVI_2023","NDVI",6,0.00684805625303111,0.00649669109511308,-0.00588545829339053,0.0195815707994528,0.174847830079831
"gini","ride","total_20_55","Population (20-55)",2,-0.000747446592975686,0.00301476054845071,-0.00665637726793908,0.0051614840819877,0.994552175320721
"gini","ride","total_20_55","Population (20-55)",4,-0.00136985123859621,0.00562202980331618,-0.0123890296530959,0.0096493271759035,0.994552175320721
"gini","ride","total_20_55","Population (20-55)",6,-0.00174354066339639,0.00744262602848317,-0.0163310876792234,0.0128440063524306,0.994552175320721
"gini","ride","GDP","GDP",2,-0.00484048012556191,0.0017985777874407,-0.00836569258894568,-0.00131526766217813,0.0619998379592046
"gini","ride","GDP","GDP",4,-0.00908361159112934,0.0033644416818421,-0.0156779172875398,-0.00248930589471883,0.0619998379592046
"gini","ride","GDP","GDP",6,-0.0121326649797985,0.00448069676140017,-0.0209148306321429,-0.0033504993274542,0.0619998379592046
"gini","ride","Unemployment","Unemployment",2,0.000627782296819278,0.00187906593756295,-0.0030551869408041,0.00431075153444265,0.924230388632764
"gini","ride","Unemployment","Unemployment",4,0.00122944559222731,0.00349406506066434,-0.0056189219266748,0.00807781311112942,0.924230388632764
"gini","ride","Unemployment","Unemployment",6,0.00177897051263988,0.00459481147889396,-0.00722685998599229,0.0107848010112721,0.924230388632764
"gini","ride","BD","Building Density",2,0.00496325921203519,0.00249096993034275,8.09581485634011e-05,0.00984556027550699,0.0733074867972753
"gini","ride","BD","Building Density",4,0.00950164177769554,0.00463954409681344,0.000408135347941206,0.0185951482074499,0.0733074867972753
"gini","ride","BD","Building Density",6,0.0131896126573659,0.00612480093807764,0.00118500281873376,0.0251942224959981,0.0733074867972753
"gini","ride","Urbanization_Rate","Urbanization Rate",2,-0.00318222461453718,0.00187191849595147,-0.00685118486660205,0.000486735637527697,0.108439447228456
"gini","ride","Urbanization_Rate","Urbanization Rate",4,-0.00611884889981027,0.00348305007669636,-0.0129456270501351,0.000707929250514599,0.108439447228456
"gini","ride","Urbanization_Rate","Urbanization Rate",6,-0.00856569015848146,0.00458864427607082,-0.0175594329395803,0.00042805262261735,0.108439447228456
"gini","ride","Street_Intersection_Density","Street Intersection Density",2,-0.00512770097016799,0.00238719177913547,-0.0098065968572735,-0.000448805083062472,0.0128010543986683
"gini","ride","Street_Intersection_Density","Street Intersection Density",4,-0.00919786483807603,0.00444993866611349,-0.0179197446236585,-0.000475985052493588,0.0128010543986683
"gini","ride","Street_Intersection_Density","Street Intersection Density",6,-0.011157068906946,0.00588381340002148,-0.0226893431709881,0.000375205357096143,0.0128010543986683
"gini","ride","Walkability_Index","Walkability Index",2,0.00800937545970463,0.00194930437913663,0.00418873887659682,0.0118300120428124,0.000302796495677549
"gini","ride","Walkability_Index","Walkability Index",4,0.0147461181103949,0.00362769173160382,0.00763584231645144,0.0218563939043384,0.000302796495677549
"gini","ride","Walkability_Index","Walkability Index",6,0.0189427483250308,0.00477923412120245,0.00957544944747403,0.0283100472025876,0.000302796495677549
"mean","run","NDVI_2023","NDVI",2,0.0223542238451743,0.00471991144037632,0.0131031974220367,0.0316052502683119,1.66105470186823e-06
"mean","run","NDVI_2023","NDVI",4,0.0432576307661019,0.00903269575683099,0.0255535470827132,0.0609617144494906,1.66105470186823e-06
"mean","run","NDVI_2023","NDVI",6,0.0612735411683372,0.012547518507458,0.0366804048937195,0.0858666774429549,1.66105470186823e-06
"mean","run","total_20_55","Population (20-55)",2,0.000846766753215045,0.00808614941019153,-0.0150020860907604,0.0166956195971905,0.963144744254285
"mean","run","total_20_55","Population (20-55)",4,0.0018159501157868,0.015465191260815,-0.0284958247554107,0.0321277249869843,0.963144744254285
"mean","run","total_20_55","Population (20-55)",6,0.00302640830202205,0.0214679240708071,-0.0390507228767599,0.045103539480804,0.963144744254285
"mean","run","GDP","GDP",2,-0.00378505154143345,0.00692084822972493,-0.0173499140716943,0.00977981098882742,0.164175359736397
"mean","run","GDP","GDP",4,-0.00828649043025862,0.0131435415001981,-0.034047831770647,0.0174748509101297,0.164175359736397
"mean","run","GDP","GDP",6,-0.0142168155700899,0.0180464687821389,-0.0495878943830821,0.0211542632429023,0.164175359736397
"mean","run","Unemployment","Unemployment",2,0.0125084253703422,0.00514269310473912,0.00242874688505353,0.0225881038556309,0.0439855760529736
"mean","run","Unemployment","Unemployment",4,0.0236433790186556,0.00983976191405146,0.00435744566711471,0.0429293123701964,0.0439855760529736
"mean","run","Unemployment","Unemployment",6,0.0320417187748703,0.0136621719838773,0.00526386168647073,0.0588195758632698,0.0439855760529736
"mean","run","BD","Building Density",2,0.0270071136109553,0.00582908401105865,0.0155821089492803,0.0384321182726303,7.59266492408624e-05
"mean","run","BD","Building Density",4,0.0516125705671715,0.0111612891769171,0.0297364437804141,0.073488697353929,7.59266492408624e-05
"mean","run","BD","Building Density",6,0.0714231305044645,0.0155161504176057,0.0410114756859572,0.101834785322972,7.59266492408624e-05
"mean","run","Urbanization_Rate","Urbanization Rate",2,0.0162653511675137,0.00419155974997549,0.00804989405756172,0.0244808082774656,0.00158054283929085
"mean","run","Urbanization_Rate","Urbanization Rate",4,0.0312399423902336,0.00803449011638841,0.0154923417621124,0.0469875430183549,0.00158054283929085
"mean","run","Urbanization_Rate","Urbanization Rate",6,0.0436401324523459,0.0111907586009821,0.0217062455944209,0.0655740193102708,0.00158054283929085
"mean","run","Street_Intersection_Density","Street Intersection Density",2,-0.00523585116990107,0.0067147594779154,-0.0183967797466152,0.00792507740681311,5.42890854230426e-08
"mean","run","Street_Intersection_Density","Street Intersection Density",4,-0.0113969125959235,0.0128645949418031,-0.0366115186818576,0.0138176934900106,5.42890854230426e-08
"mean","run","Street_Intersection_Density","Street Intersection Density",6,-0.0193991397119959,0.0179026353607708,-0.0544883050191066,0.0156900255951148,5.42890854230426e-08
"mean","run","Walkability_Index","Walkability Index",2,-0.00582785297339204,0.00547228668684287,-0.0165535348796041,0.00489782893281998,4.71722902727965e-08
"mean","run","Walkability_Index","Walkability Index",4,-0.0101762524449545,0.0104872482549928,-0.0307312590247403,0.0103787541348313,4.71722902727965e-08
"mean","run","Walkability_Index","Walkability Index",6,-0.011577550200352,0.0145999014847028,-0.0401933571103696,0.0170382567096655,4.71722902727965e-08
"gini","run","NDVI_2023","NDVI",2,0.0110361911393786,0.00648307815626609,-0.00167064204690294,0.0237430243256601,0.000443622478616987
"gini","run","NDVI_2023","NDVI",4,0.0202239958566207,0.0124255369006666,-0.00413005646868586,0.0445780481819272,0.000443622478616987
"gini","run","NDVI_2023","NDVI",6,0.0257266122808947,0.01730683781491,-0.00819478983632895,0.0596480143981183,0.000443622478616987
"gini","run","total_20_55","Population (20-55)",2,0.00578332516872168,0.00830623717934306,-0.0104968997027907,0.0220635500402341,0.516471435598106
"gini","run","total_20_55","Population (20-55)",4,0.0107848766555837,0.0159426503895997,-0.0204627181080318,0.0420324714191992,0.516471435598106
"gini","run","total_20_55","Population (20-55)",6,0.0142249103158724,0.0222562879276048,-0.0293974140222331,0.0578472346539779,0.516471435598106
"gini","run","GDP","GDP",2,0.000386096057435288,0.0051094935829716,-0.00962851136518905,0.0104007034800596,0.993603209805917
"gini","run","GDP","GDP",4,0.000703311679689757,0.00980996558825894,-0.0185242208732978,0.0199308442326773,0.993603209805917
"gini","run","GDP","GDP",6,0.000881109369308885,0.0137018959203959,-0.0259746066346671,0.0277368253732849,0.993603209805917
"gini","run","Unemployment","Unemployment",2,-0.00636668379056678,0.00535591678007036,-0.0168642806795047,0.00413091309837113,0.394735722362066
"gini","run","Unemployment","Unemployment",4,-0.012050299637037,0.0102785185786968,-0.0321961960512827,0.00809559677720865,0.394735722362066
"gini","run","Unemployment","Unemployment",6,-0.0163724086676887,0.0143434320827946,-0.0444855355499661,0.0117407182145886,0.394735722362066
"gini","run","BD","Building Density",2,0.00193518018315691,0.00669936160859012,-0.0111955685696797,0.0150659289359935,0.859137278979051
"gini","run","BD","Building Density",4,0.00387055763687421,0.0128520503441193,-0.0213194610375996,0.029060576311348,0.859137278979051
"gini","run","BD","Building Density",6,0.00580607454117247,0.0179252863439851,-0.0293274866930383,0.0409396357753833,0.859137278979051
"gini","run","Urbanization_Rate","Urbanization Rate",2,-0.0119077701734927,0.00509212666033331,-0.021888338427746,-0.00192720191923945,0.132437496321489
"gini","run","Urbanization_Rate","Urbanization Rate",4,-0.0229016894471968,0.00977074034133964,-0.0420523405162225,-0.00375103837817114,0.132437496321489
"gini","run","Urbanization_Rate","Urbanization Rate",6,-0.032070913907343,0.0136331872792854,-0.0587919609747423,-0.00534986683994362,0.132437496321489
"gini","run","Street_Intersection_Density","Street Intersection Density",2,-0.0108715429050291,0.00670123822896098,-0.0240059698337926,0.00226288402373441,0.0214740716570334
"gini","run","Street_Intersection_Density","Street Intersection Density",4,-0.0203823090626848,0.0128623599947008,-0.0455925346522985,0.00482791652692888,0.0214740716570334
"gini","run","Street_Intersection_Density","Street Intersection Density",6,-0.0271807637728382,0.0179558451768136,-0.0623742203193929,0.00801269277371649,0.0214740716570334
"gini","run","Walkability_Index","Walkability Index",2,0.00708216737463793,0.00555614192975103,-0.00380787080767408,0.0179722055569499,0.626265901284778
"gini","run","Walkability_Index","Walkability Index",4,0.0135369463349098,0.0106620743878464,-0.00736071946526925,0.0344346121350888,0.626265901284778
"gini","run","Walkability_Index","Walkability Index",6,0.0187423514814252,0.0148777631487476,-0.01041806429012,0.0479027672529704,0.626265901284778
"mean","walk","NDVI_2023","NDVI",2,-0.00426705861233013,0.00401933494367821,-0.0121449551019394,0.00361083787727916,9.46703990570123e-05
"mean","walk","NDVI_2023","NDVI",4,-0.00760783348565778,0.0078259309955346,-0.0229466582369056,0.00773099126559003,9.46703990570123e-05
"mean","walk","NDVI_2023","NDVI",6,-0.00906721543742673,0.0112200957364281,-0.0310586030808257,0.0129241722059723,9.46703990570123e-05
"mean","walk","total_20_55","Population (20-55)",2,0.0196993946891117,0.00705123820796762,0.00587896780149511,0.0335198215767282,0.0392459794812987
"mean","walk","total_20_55","Population (20-55)",4,0.0385649290215615,0.0137284313675563,0.0116572035411512,0.0654726545019718,0.0392459794812987
"mean","walk","total_20_55","Population (20-55)",6,0.0557494966073586,0.0196836691092589,0.0171695051532112,0.0943294880615059,0.0392459794812987
"mean","walk","GDP","GDP",2,0.0153657338897626,0.0063529246045328,0.00291400166487834,0.0278174661146469,0.0841779305934019
"mean","walk","GDP","GDP",4,0.0300876198712632,0.0122584408880601,0.00606107573066541,0.054114164011861,0.0841779305934019
"mean","walk","GDP","GDP",6,0.0435410281826371,0.0173634925727713,0.00950858274000542,0.0775734736252689,0.0841779305934019
"mean","walk","Unemployment","Unemployment",2,-0.00769303006323264,0.00375599268249185,-0.0150547757209167,-0.00033128440554861,0.132727963548353
"mean","walk","Unemployment","Unemployment",4,-0.0151561646556453,0.00730899609727371,-0.0294817970063018,-0.000830532304988838,0.132727963548353
"mean","walk","Unemployment","Unemployment",6,-0.0221568091510246,0.0104694790968377,-0.0426769881808266,-0.00163663012122269,0.132727963548353
"mean","walk","BD","Building Density",2,-0.00348771663948748,0.00461895976227531,-0.0125408777735471,0.00556544449457213,0.152679485851331
"mean","walk","BD","Building Density",4,-0.00712025731753346,0.00901832200865033,-0.0247961684544881,0.0105556538194212,0.152679485851331
"mean","walk","BD","Building Density",6,-0.0110499551149899,0.0129874586991239,-0.0365053741652728,0.0144054639352931,0.152679485851331
"mean","walk","Urbanization_Rate","Urbanization Rate",2,0.00573612253290989,0.00281012443093046,0.000228278648286196,0.0112439664175336,0.222128753594338
