"metric","activity","predictor","source_column","mean","sd","n_grid_rows","n_cities"
"mean","all","NDVI_2023","NDVI_2023_mean",0.404927249940687,0.118017971313146,832,63
"mean","all","total_20_55","total_20_55_mean",862.132374415471,721.562665185486,832,63
"mean","all","GDP","GDP_mean",7847052879.13568,11899426246.2403,832,63
"mean","all","Unemployment","Unemployment_mean",0.0384334101137676,0.0130020868956141,832,63
"mean","all","BD","BD_mean",0.229209329087306,0.0495961109135573,832,63
"mean","all","Urbanization_Rate","Urbanization_Rate_mean",27.2962094646771,3.0481467615366,832,63
"mean","all","Street_Intersection_Density","Street_Intersection_Density_mean",93.8328791961121,34.6632657148465,832,63
"mean","all","Walkability_Index","Walkability_Index_mean",11.3304369091578,2.27306363182461,832,63
"gini","all","NDVI_2023","NDVI_2023_gini",0.0986855614496447,0.0609612501946002,804,63
"gini","all","total_20_55","total_20_55_gini",0.307420145215349,0.118887136054496,804,63
"gini","all","GDP","GDP_gini",0.12431652680165,0.0988923396787558,804,63
"gini","all","Unemployment","Unemployment_gini",0.0333067772072962,0.0355589899352889,804,63
"gini","all","BD","BD_gini",0.142310941534399,0.0646350836954424,804,63
"gini","all","Urbanization_Rate","Urbanization_Rate_gini",0.0348448612564909,0.0298835694425386,804,63
"gini","all","Street_Intersection_Density","Street_Intersection_Density_gini",0.180991880228031,0.0676036509988087,804,63
"gini","all","Walkability_Index","Walkability_Index_gini",0.084169358353603,0.0358123695780881,804,63
"mean","ride","NDVI_2023","NDVI_2023_mean",0.404927249940687,0.118017971313146,832,63
"mean","ride","total_20_55","total_20_55_mean",862.132374415471,721.562665185486,832,63
"mean","ride","GDP","GDP_mean",7847052879.13568,11899426246.2403,832,63
"mean","ride","Unemployment","Unemployment_mean",0.0384334101137676,0.0130020868956141,832,63
"mean","ride","BD","BD_mean",0.229209329087306,0.0495961109135573,832,63
"mean","ride","Urbanization_Rate","Urbanization_Rate_mean",27.2962094646771,3.0481467615366,832,63
"mean","ride","Street_Intersection_Density","Street_Intersection_Density_mean",93.8328791961121,34.6632657148465,832,63
"mean","ride","Walkability_Index","Walkability_Index_mean",11.3304369091578,2.27306363182461,832,63
"gini","ride","NDVI_2023","NDVI_2023_gini",0.0986855614496447,0.0609612501946002,804,63
"gini","ride","total_20_55","total_20_55_gini",0.307420145215349,0.118887136054496,804,63
"gini","ride","GDP","GDP_gini",0.12431652680165,0.0988923396787558,804,63
"gini","ride","Unemployment","Unemployment_gini",0.0333067772072962,0.0355589899352889,804,63
"gini","ride","BD","BD_gini",0.142310941534399,0.0646350836954424,804,63
"gini","ride","Urbanization_Rate","Urbanization_Rate_gini",0.0348448612564909,0.0298835694425386,804,63
"gini","ride","Street_Intersection_Density","Street_Intersection_Density_gini",0.180991880228031,0.0676036509988087,804,63
"gini","ride","Walkability_Index","Walkability_Index_gini",0.084169358353603,0.0358123695780881,804,63
"mean","run","NDVI_2023","NDVI_2023_mean",0.404927249940687,0.118017971313146,832,63
"mean","run","total_20_55","total_20_55_mean",862.132374415471,721.562665185486,832,63
"mean","run","GDP","GDP_mean",7847052879.13568,11899426246.2403,832,63
"mean","run","Unemployment","Unemployment_mean",0.0384334101137676,0.0130020868956141,832,63
"mean","run","BD","BD_mean",0.229209329087306,0.0495961109135573,832,63
"mean","run","Urbanization_Rate","Urbanization_Rate_mean",27.2962094646771,3.0481467615366,832,63
"mean","run","Street_Intersection_Density","Street_Intersection_Density_mean",93.8328791961121,34.6632657148465,832,63
"mean","run","Walkability_Index","Walkability_Index_mean",11.3304369091578,2.27306363182461,832,63
"gini","run","NDVI_2023","NDVI_2023_gini",0.0986855614496447,0.0609612501946002,804,63
"gini","run","total_20_55","total_20_55_gini",0.307420145215349,0.118887136054496,804,63
"gini","run","GDP","GDP_gini",0.12431652680165,0.0988923396787558,804,63
"gini","run","Unemployment","Unemployment_gini",0.0333067772072962,0.0355589899352889,804,63
"gini","run","BD","BD_gini",0.142310941534399,0.0646350836954424,804,63
"gini","run","Urbanization_Rate","Urbanization_Rate_gini",0.0348448612564909,0.0298835694425386,804,63
"gini","run","Street_Intersection_Density","Street_Intersection_Density_gini",0.180991880228031,0.0676036509988087,804,63
"gini","run","Walkability_Index","Walkability_Index_gini",0.084169358353603,0.0358123695780881,804,63
"mean","walk","NDVI_2023","NDVI_2023_mean",0.404927249940687,0.118017971313146,832,63
"mean","walk","total_20_55","total_20_55_mean",862.132374415471,721.562665185486,832,63
"mean","walk","GDP","GDP_mean",7847052879.13568,11899426246.2403,832,63
"mean","walk","Unemployment","Unemployment_mean",0.0384334101137676,0.0130020868956141,832,63
"mean","walk","BD","BD_mean",0.229209329087306,0.0495961109135573,832,63
"mean","walk","Urbanization_Rate","Urbanization_Rate_mean",27.2962094646771,3.0481467615366,832,63
"mean","walk","Street_Intersection_Density","Street_Intersection_Density_mean",93.8328791961121,34.6632657148465,832,63
"mean","walk","Walkability_Index","Walkability_Index_mean",11.3304369091578,2.27306363182461,832,63
"gini","walk","NDVI_2023","NDVI_2023_gini",0.0986855614496447,0.0609612501946002,804,63
"gini","walk","total_20_55","total_20_55_gini",0.307420145215349,0.118887136054496,804,63
"gini","walk","GDP","GDP_gini",0.12431652680165,0.0988923396787558,804,63
"gini","walk","Unemployment","Unemployment_gini",0.0333067772072962,0.0355589899352889,804,63
"gini","walk","BD","BD_gini",0.142310941534399,0.0646350836954424,804,63
"gini","walk","Urbanization_Rate","Urbanization_Rate_gini",0.0348448612564909,0.0298835694425386,804,63
"gini","walk","Street_Intersection_Density","Street_Intersection_Density_gini",0.180991880228031,0.0676036509988087,804,63
"gini","walk","Walkability_Index","Walkability_Index_gini",0.084169358353603,0.0358123695780881,804,63
