scope,scope_label,denominator_package,period_source,scenario,scenario_label,year,indicator,heatwave_type,activity_type,model_key,denominator_id,denominator_label,denominator_months,metric,metric_label,value,low,high,heatwave_label,indicator_label
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2010,cehwi,composite,all,cehwi_composite_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.2934045017050719,,,Compound,CEHWI
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2010,cehwi,day,all,cehwi_day_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.2119861293035855,,,Daytime,CEHWI
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2010,cehwi,night,all,cehwi_night_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.0014662129199322,,,Nighttime,CEHWI
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2010,exceeded_quantity,composite,all,exceeded_quantity_composite_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.3573383350496133,,,Compound,Exceeded cumulative intensity
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2010,exceeded_quantity,day,all,exceeded_quantity_day_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.5026970832617739,,,Daytime,Exceeded cumulative intensity
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2010,exceeded_quantity,night,all,exceeded_quantity_night_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.076169142247733,,,Nighttime,Exceeded cumulative intensity
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2011,cehwi,composite,all,cehwi_composite_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.7618982892323222,,,Compound,CEHWI
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2011,cehwi,day,all,cehwi_day_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.2864638149181215,,,Daytime,CEHWI
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2011,cehwi,night,all,cehwi_night_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.0,,,Nighttime,CEHWI
primary_national,national pooled,annual_all_days_primary,historical,historical,Historical,2011,exceeded_quantity,composite,all,exceeded_quantity_composite_all,historical_observed_reference,Observed historical reference table; denominator follows the historical source directory,source_defined,pa_loss_fraction,PA loss fraction (%),0.7896898644744897,,,Compound,Exceeded cumulative intensity
