city_standard,city_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
Abilene,Abilene,2,C2,#E39D00
Amarillo,Amarillo,4,C4,#1F4F8C
Arlington,Arlington,1,C1,#B83A34
Atlanta,Atlanta,3,C3,#5EA4CE
Aurora,Aurora,5,Outside estimable phenotype subset,#BDBDBD
Austin,Austin,2,C2,#E39D00
Bakersfield,Bakersfield,1,C1,#B83A34
Baltimore,Baltimore,1,C1,#B83A34
Boston,Boston,2,C2,#E39D00
Cape_Coral,Cape Coral,4,C4,#1F4F8C
Chandler,Chandler,1,C1,#B83A34
Charleston,Charleston,3,C3,#5EA4CE
Charlotte,Charlotte,4,C4,#1F4F8C
Chicago,Chicago,4,C4,#1F4F8C
Cincinnati,Cincinnati,4,C4,#1F4F8C
Clearwater,Clearwater,4,C4,#1F4F8C
Cleveland,Cleveland,3,C3,#5EA4CE
Columbia,Columbia,3,C3,#5EA4CE
Columbus,Columbus,2,C2,#E39D00
Corpus_Christi,Corpus Christi,1,C1,#B83A34
Dallas,Dallas,1,C1,#B83A34
Denver,Denver,5,Outside estimable phenotype subset,#BDBDBD
Detroit,Detroit,1,C1,#B83A34
Fort_Worth,Fort Worth,1,C1,#B83A34
Fresno,Fresno,1,C1,#B83A34
Gilbert,Gilbert,4,C4,#1F4F8C
Henderson,Henderson,2,C2,#E39D00
Hollywood,Hollywood,5,Outside estimable phenotype subset,#BDBDBD
Houston,Houston,1,C1,#B83A34
Indianapolis,Indianapolis,4,C4,#1F4F8C
Jacksonville,Jacksonville,4,C4,#1F4F8C
Kansas_City,Kansas City,3,C3,#5EA4CE
Las_Vegas,Las Vegas,4,C4,#1F4F8C
Long_Beach,Long Beach,5,Outside estimable phenotype subset,#BDBDBD
Los_Angeles,Los Angeles,2,C2,#E39D00
Louisville,Louisville,4,C4,#1F4F8C
Lubbock,Lubbock,4,C4,#1F4F8C
Mesa,Mesa,1,C1,#B83A34
Miami,Miami,1,C1,#B83A34
Milwaukee,Milwaukee,4,C4,#1F4F8C
Minneapolis,Minneapolis,2,C2,#E39D00
Miramar,Miramar,4,C4,#1F4F8C
Nashville,Nashville,4,C4,#1F4F8C
New_York,New York,1,C1,#B83A34
Newark,Newark,2,C2,#E39D00
Oakland,Oakland,5,Outside estimable phenotype subset,#BDBDBD
Oklahoma_City,Oklahoma City,1,C1,#B83A34
Orlando,Orlando,3,C3,#5EA4CE
Overland_Park,Overland Park,3,C3,#5EA4CE
Palm_Bay,Palm Bay,4,C4,#1F4F8C
Philadelphia,Philadelphia,2,C2,#E39D00
Phoenix,Phoenix,1,C1,#B83A34
Pittsburgh,Pittsburgh,5,Outside estimable phenotype subset,#BDBDBD
Portland,Portland,5,Outside estimable phenotype subset,#BDBDBD
Raleigh,Raleigh,3,C3,#5EA4CE
Richmond,Richmond,4,C4,#1F4F8C
Riverside,Riverside,4,C4,#1F4F8C
Sacramento,Sacramento,2,C2,#E39D00
Salt_Lake_City,Salt Lake City,5,Outside estimable phenotype subset,#BDBDBD
San_Antonio,San Antonio,2,C2,#E39D00
San_Bernardino,San Bernardino,2,C2,#E39D00
San_Diego,San Diego,5,Outside estimable phenotype subset,#BDBDBD
San_Francisco,San Francisco,5,Outside estimable phenotype subset,#BDBDBD
San_Jose,San Jose,2,C2,#E39D00
Santa_Ana,Santa Ana,5,Outside estimable phenotype subset,#BDBDBD
Scottsdale,Scottsdale,4,C4,#1F4F8C
Seattle,Seattle,5,Outside estimable phenotype subset,#BDBDBD
St_Louis,St. Louis,3,C3,#5EA4CE
St_Petersburg,St. Petersburg,3,C3,#5EA4CE
Tallahassee,Tallahassee,4,C4,#1F4F8C
Tampa,Tampa,3,C3,#5EA4CE
Tucson,Tucson,1,C1,#B83A34
Virginia_Beach,Virginia Beach,1,C1,#B83A34
Visalia,Visalia,1,C1,#B83A34
Washington,Washington,2,C2,#E39D00
