scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,Abilene,cehwi,composite,all,Abilene,2025-2050,85410.0,16211.0,0.805055861402983,0.022807391863461188,1.5736888736973036,0.8318794155824629,0.02283532938647584,1.6808477794811105,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Amarillo,cehwi,composite,all,Amarillo,2025-2050,94900.0,11896.0,0.4455803574109938,0.013742324458738403,0.8577536874278966,0.45841071506370146,0.013756541805367988,0.906998835307119,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Arlington,cehwi,composite,all,Arlington,2025-2050,85410.0,15878.0,0.8573233853831577,0.023738199929053773,1.67147829310696,0.8874016459317944,0.023768474510591515,1.791323185000551,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Atlanta,cehwi,composite,all,Atlanta,2025-2050,113880.0,11110.0,0.2496017096256948,0.007956323550908192,0.48095578570241254,0.25538838457132346,0.00796339354334456,0.5029098261483737,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
ssp245,Austin,cehwi,composite,all,Austin,2025-2050,227760.0,42661.0,0.7480414415992541,0.023638122988165214,1.440994319929391,0.772340627921587,0.023667025239823156,1.5349426462625817,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Bakersfield,cehwi,composite,all,Bakersfield,2025-2050,132860.0,15273.0,0.3206774881856629,0.010166775581786813,0.6176230006036516,0.32838147292463044,0.010175805557369575,0.6469113284751288,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Baltimore,cehwi,composite,all,Baltimore,2025-2050,75920.0,6164.0,0.2470967294605084,0.00775228131732666,0.47727645450360423,0.2532821413178004,0.0077594942309013515,0.5010805276269692,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Boston,cehwi,composite,all,Boston,2025-2050,56940.0,506.0,0.030404019212832048,0.0010090884484688543,0.05844964173311565,0.0311591630859104,0.001010078218396454,0.06130824795342436,SSP2-4.5,CEHWI,Compound,2,C2,#E39D00
ssp245,Cape_Coral,cehwi,composite,all,Cape Coral,2025-2050,75920.0,6532.0,0.09462598901887825,0.0026157986692262884,0.1848175528509015,0.09560917139666292,0.002616608398531642,0.18860173439479472,SSP2-4.5,CEHWI,Compound,4,C4,#1F4F8C
ssp245,Chandler,cehwi,composite,all,Chandler,2025-2050,75920.0,9452.0,0.3142919587559933,0.009724463033562685,0.6071601442949008,0.32075932609329016,0.009731504398524668,0.631787147788056,SSP2-4.5,CEHWI,Compound,1,C1,#B83A34
ssp245,Charleston,cehwi,composite,all,Charleston,2025-2050,66430.0,9623.0,0.3643585867918729,0.011228224851837847,0.7037031114864449,0.37289338925680565,0.011237847753552901,0.7364002927832843,SSP2-4.5,CEHWI,Compound,3,C3,#5EA4CE
