scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label,dtw4lag12_cluster,dtw4lag12_cluster_label,dtw4lag12_cluster_color
ssp245,Abilene,exceeded_quantity,composite,all,Abilene,2025-2050,85410.0,16211.0,0.5907666008660717,0.0,1.3529373405918574,0.603331124012908,0.0,1.4192072822413302,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Amarillo,exceeded_quantity,composite,all,Amarillo,2025-2050,94900.0,11896.0,0.42469892962726963,0.0,0.9684405779595879,0.4342380902348638,0.0,1.0181947415267147,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Arlington,exceeded_quantity,composite,all,Arlington,2025-2050,85410.0,15878.0,0.6028645789895555,0.0,1.3729770314745484,0.6164636975045173,0.0,1.4438426945746305,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Atlanta,exceeded_quantity,composite,all,Atlanta,2025-2050,113880.0,11110.0,0.2603817062542288,0.0,0.6067367660320194,0.2648900439548448,0.0,0.6312651402406454,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Austin,exceeded_quantity,composite,all,Austin,2025-2050,227760.0,42661.0,0.5059724779434177,0.0,1.1729544557283873,0.5153182443169165,0.0,1.2234269118032963,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Bakersfield,exceeded_quantity,composite,all,Bakersfield,2025-2050,132860.0,15273.0,0.3295984735549774,0.0,0.762104700276153,0.3359275556643293,0.0,0.796032237318377,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Baltimore,exceeded_quantity,composite,all,Baltimore,2025-2050,75920.0,6164.0,0.27550244638211335,0.0,0.6286882190113522,0.28166180809235053,0.0,0.6608733167256093,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Boston,exceeded_quantity,composite,all,Boston,2025-2050,56940.0,506.0,0.03879093279900051,0.0,0.08770173010256024,0.039756153373163586,0.0,0.09275314598387736,SSP2-4.5,Exceeded cumulative intensity,Compound,2,C2,#E39D00
ssp245,Cape_Coral,exceeded_quantity,composite,all,Cape Coral,2025-2050,75920.0,6532.0,0.11602264960656833,0.0,0.27910142442476865,0.11704312859972678,0.0,0.2850444857853394,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
ssp245,Chandler,exceeded_quantity,composite,all,Chandler,2025-2050,75920.0,9452.0,0.35209943668026317,0.0,0.8145855515449494,0.3587733317452193,0.0,0.8504347074103212,SSP2-4.5,Exceeded cumulative intensity,Compound,1,C1,#B83A34
ssp245,Charleston,exceeded_quantity,composite,all,Charleston,2025-2050,66430.0,9623.0,0.3360923436789588,0.0,0.7866024115127755,0.3415190724439396,0.0,0.8163382138306972,SSP2-4.5,Exceeded cumulative intensity,Compound,3,C3,#5EA4CE
ssp245,Charlotte,exceeded_quantity,composite,all,Charlotte,2025-2050,218270.0,24508.0,0.33745484909723583,0.0,0.7773145106883556,0.34421048988422626,0.0,0.8132093496712077,SSP2-4.5,Exceeded cumulative intensity,Compound,4,C4,#1F4F8C
