scenario,city_standard,indicator,heatwave_type,activity_type,city_label,period,n_days,heatwave_days,pa_loss_fraction_percent,pa_loss_fraction_low_percent,pa_loss_fraction_high_percent,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,scenario_label,indicator_label,heatwave_label
ssp245,Abilene,cehwi,composite,all,Abilene,2025-2050,85410.0,16211.0,0.805055861402983,0.022807391863461188,1.5736888736973036,0.8318794155824629,0.02283532938647584,1.6808477794811105,SSP2-4.5,CEHWI,Compound
ssp245,Abilene,cehwi,day,all,Abilene,2025-2050,85410.0,8659.0,0.058370223670579105,0.0,0.14683457861921706,0.05871296532029557,0.0,0.14898163572578324,SSP2-4.5,CEHWI,Daytime
ssp245,Abilene,cehwi,night,all,Abilene,2025-2050,85410.0,9875.0,0.0,0.0,0.039699791270295125,0.0,0.0,0.03983593424564109,SSP2-4.5,CEHWI,Nighttime
ssp245,Abilene,exceeded_quantity,composite,all,Abilene,2025-2050,85410.0,16211.0,0.5907666008660717,0.0,1.3529373405918574,0.603331124012908,0.0,1.4192072822413302,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Abilene,exceeded_quantity,day,all,Abilene,2025-2050,85410.0,8659.0,0.1142003583835246,7.887229471178081e-06,0.27202127488406846,0.11525014849139303,7.896339384431096e-06,0.2778146769853946,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Abilene,exceeded_quantity,night,all,Abilene,2025-2050,85410.0,9875.0,0.025770408389322815,0.0,0.1857880336965836,0.025825368934419536,0.0,0.18816946301166057,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Amarillo,cehwi,composite,all,Amarillo,2025-2050,94900.0,11896.0,0.4455803574109938,0.013742324458738403,0.8577536874278966,0.45841071506370146,0.013756541805367988,0.906998835307119,SSP2-4.5,CEHWI,Compound
ssp245,Amarillo,cehwi,day,all,Amarillo,2025-2050,94900.0,15091.0,0.16443602618876937,0.0010200263002794387,0.3935848759171742,0.16648794871678718,0.0010244581957008967,0.40425110146594195,SSP2-4.5,CEHWI,Daytime
ssp245,Amarillo,cehwi,night,all,Amarillo,2025-2050,94900.0,5052.0,0.0,0.0,0.014931534024233617,0.0,0.0,0.014969622786200494,SSP2-4.5,CEHWI,Nighttime
ssp245,Amarillo,exceeded_quantity,composite,all,Amarillo,2025-2050,94900.0,11896.0,0.42469892962726963,0.0,0.9684405779595879,0.4342380902348638,0.0,1.0181947415267147,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Amarillo,exceeded_quantity,day,all,Amarillo,2025-2050,94900.0,15091.0,0.25669501923122007,0.005826412894088257,0.5782835923117822,0.26066798312173944,0.0059032329515988245,0.5962511235966368,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Amarillo,exceeded_quantity,night,all,Amarillo,2025-2050,94900.0,5052.0,0.010385219963017046,0.0,0.07792942328046461,0.010402972196034092,0.0,0.07880173361426082,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Arlington,cehwi,composite,all,Arlington,2025-2050,85410.0,15878.0,0.8573233853831577,0.023738199929053773,1.67147829310696,0.8874016459317944,0.023768474510591515,1.791323185000551,SSP2-4.5,CEHWI,Compound
ssp245,Arlington,cehwi,day,all,Arlington,2025-2050,85410.0,7244.0,0.03860506678878935,0.0,0.0971880330964617,0.03881912837706427,0.0,0.09852450691381241,SSP2-4.5,CEHWI,Daytime
ssp245,Arlington,cehwi,night,all,Arlington,2025-2050,85410.0,10276.0,0.0,0.0,0.04122883078123525,0.0,0.0,0.04136244349363884,SSP2-4.5,CEHWI,Nighttime
ssp245,Arlington,exceeded_quantity,composite,all,Arlington,2025-2050,85410.0,15878.0,0.6028645789895555,0.0,1.3729770314745484,0.6164636975045173,0.0,1.4438426945746305,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Arlington,exceeded_quantity,day,all,Arlington,2025-2050,85410.0,7244.0,0.07183062725096853,0.0,0.17341506761565714,0.07236821534600557,0.0,0.1764787012977952,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Arlington,exceeded_quantity,night,all,Arlington,2025-2050,85410.0,10276.0,0.0234194188776137,0.0,0.17541931645969133,0.02346013191722709,0.0,0.17739876908115562,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Atlanta,cehwi,composite,all,Atlanta,2025-2050,113880.0,11110.0,0.2496017096256948,0.007956323550908192,0.48095578570241254,0.25538838457132346,0.00796339354334456,0.5029098261483737,SSP2-4.5,CEHWI,Compound
ssp245,Atlanta,cehwi,day,all,Atlanta,2025-2050,113880.0,19777.0,0.2420664566407003,0.00595354675964184,0.5547752522002332,0.24636821640245332,0.006009853186515407,0.5746381726065154,SSP2-4.5,CEHWI,Daytime
ssp245,Atlanta,cehwi,night,all,Atlanta,2025-2050,113880.0,8613.0,0.0,0.0,0.019545593745990013,0.0,0.0,0.019597031306166683,SSP2-4.5,CEHWI,Nighttime
ssp245,Atlanta,exceeded_quantity,composite,all,Atlanta,2025-2050,113880.0,11110.0,0.2603817062542288,0.0,0.6067367660320194,0.2648900439548448,0.0,0.6312651402406454,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Atlanta,exceeded_quantity,day,all,Atlanta,2025-2050,113880.0,19777.0,0.281841653138678,0.0019847296500951107,0.6458089533705614,0.2856419499426475,0.002005235021901302,0.6645449270506237,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Atlanta,exceeded_quantity,night,all,Atlanta,2025-2050,113880.0,8613.0,0.012368776646945717,0.0,0.093742429841741,0.012389229535606306,0.0,0.09470447755783828,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Aurora,cehwi,composite,all,Aurora,2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP2-4.5,CEHWI,Compound
ssp245,Aurora,cehwi,day,all,Aurora,2025-2050,132860.0,27135.0,0.542358624523883,0.027130368804278503,1.157462943999241,0.5561003776205465,0.027357389202807548,1.2145465905421584,SSP2-4.5,CEHWI,Daytime
ssp245,Aurora,cehwi,night,all,Aurora,2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP2-4.5,CEHWI,Nighttime
ssp245,Aurora,exceeded_quantity,composite,all,Aurora,2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Aurora,exceeded_quantity,day,all,Aurora,2025-2050,132860.0,27135.0,0.5024248379922056,0.026030329961209332,1.066758466561079,0.5133726922983277,0.026355627220402956,1.1108249982486018,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Aurora,exceeded_quantity,night,all,Aurora,2025-2050,132860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Austin,cehwi,composite,all,Austin,2025-2050,227760.0,42661.0,0.7480414415992541,0.023638122988165214,1.440994319929391,0.772340627921587,0.023667025239823156,1.5349426462625817,SSP2-4.5,CEHWI,Compound
ssp245,Austin,cehwi,day,all,Austin,2025-2050,227760.0,24444.0,0.061426174562223046,0.0,0.15363562085503818,0.06183623670755721,0.0,0.1561253088506843,SSP2-4.5,CEHWI,Daytime
ssp245,Austin,cehwi,night,all,Austin,2025-2050,227760.0,38522.0,0.0,0.0,0.06493088713080021,0.0,0.0,0.06516080410140082,SSP2-4.5,CEHWI,Nighttime
ssp245,Austin,exceeded_quantity,composite,all,Austin,2025-2050,227760.0,42661.0,0.5059724779434177,0.0,1.1729544557283873,0.5153182443169165,0.0,1.2234269118032963,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Austin,exceeded_quantity,day,all,Austin,2025-2050,227760.0,24444.0,0.09967551226589054,4.548884570442571e-07,0.24141261348730156,0.1003930764262115,4.551242644224183e-07,0.24556416267522707,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Austin,exceeded_quantity,night,all,Austin,2025-2050,227760.0,38522.0,0.03370804136661013,0.0,0.25112235803785254,0.03376909317236214,0.0,0.25399190732517823,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Bakersfield,cehwi,composite,all,Bakersfield,2025-2050,132860.0,15273.0,0.3206774881856629,0.010166775581786813,0.6176230006036516,0.32838147292463044,0.010175805557369575,0.6469113284751288,SSP2-4.5,CEHWI,Compound
ssp245,Bakersfield,cehwi,day,all,Bakersfield,2025-2050,132860.0,20799.0,0.1186284184182168,0.0,0.2953064577912195,0.11955837112643096,0.0,0.3009698707937468,SSP2-4.5,CEHWI,Daytime
ssp245,Bakersfield,cehwi,night,all,Bakersfield,2025-2050,132860.0,8826.0,0.0,0.0,0.03847024087609544,0.0,0.0,0.03874168458975526,SSP2-4.5,CEHWI,Nighttime
ssp245,Bakersfield,exceeded_quantity,composite,all,Bakersfield,2025-2050,132860.0,15273.0,0.3295984735549774,0.0,0.762104700276153,0.3359275556643293,0.0,0.796032237318377,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Bakersfield,exceeded_quantity,day,all,Bakersfield,2025-2050,132860.0,20799.0,0.18795007572096092,0.00030435820751992617,0.44410601761752344,0.18984311314511482,0.0003063434966945196,0.4542218348789915,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Bakersfield,exceeded_quantity,night,all,Bakersfield,2025-2050,132860.0,8826.0,0.02081669777186763,0.0,0.13472096346225118,0.02088909784268827,0.0,0.13695937010070106,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Baltimore,cehwi,composite,all,Baltimore,2025-2050,75920.0,6164.0,0.2470967294605084,0.00775228131732666,0.47727645450360423,0.2532821413178004,0.0077594942309013515,0.5010805276269692,SSP2-4.5,CEHWI,Compound
ssp245,Baltimore,cehwi,day,all,Baltimore,2025-2050,75920.0,10167.0,0.1404893904959291,0.001900502076132063,0.3368054544308108,0.14226518945631159,0.0019179224832651667,0.345834511780634,SSP2-4.5,CEHWI,Daytime
ssp245,Baltimore,cehwi,night,all,Baltimore,2025-2050,75920.0,3673.0,0.0,0.0,0.014127764009199873,0.0,0.0,0.014165221580140242,SSP2-4.5,CEHWI,Nighttime
ssp245,Baltimore,exceeded_quantity,composite,all,Baltimore,2025-2050,75920.0,6164.0,0.27550244638211335,0.0,0.6286882190113522,0.28166180809235053,0.0,0.6608733167256093,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Baltimore,exceeded_quantity,day,all,Baltimore,2025-2050,75920.0,10167.0,0.23273862915780855,0.0041451543621665796,0.5247074260854828,0.23630293816617745,0.004193034128321222,0.5412414011745695,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Baltimore,exceeded_quantity,night,all,Baltimore,2025-2050,75920.0,3673.0,0.010496949262884483,0.0,0.07627615232320077,0.01051930554527215,0.0,0.07722262290255881,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Boston,cehwi,composite,all,Boston,2025-2050,56940.0,506.0,0.030404019212832048,0.0010090884484688543,0.05844964173311565,0.0311591630859104,0.001010078218396454,0.06130824795342436,SSP2-4.5,CEHWI,Compound
ssp245,Boston,cehwi,day,all,Boston,2025-2050,56940.0,9210.0,0.26822513331473513,0.001071890371632394,0.6329593043804468,0.27222478440352027,0.0010779897899487823,0.6540886936955653,SSP2-4.5,CEHWI,Daytime
ssp245,Boston,cehwi,night,all,Boston,2025-2050,56940.0,191.0,0.0,0.0,0.0015163204452797207,0.0,0.0,0.0015212049136193652,SSP2-4.5,CEHWI,Nighttime
ssp245,Boston,exceeded_quantity,composite,all,Boston,2025-2050,56940.0,506.0,0.03879093279900051,0.0,0.08770173010256024,0.039756153373163586,0.0,0.09275314598387736,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Boston,exceeded_quantity,day,all,Boston,2025-2050,56940.0,9210.0,0.42599895138566973,0.029197933750327268,0.8949106007605645,0.4360514516570474,0.02966521119969438,0.9338074669474411,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Boston,exceeded_quantity,night,all,Boston,2025-2050,56940.0,191.0,0.0008946946997341809,0.0,0.006630612150635727,0.000896293084696483,0.0,0.006714503760550167,SSP2-4.5,Exceeded cumulative intensity,Nighttime
ssp245,Cape_Coral,cehwi,composite,all,Cape Coral,2025-2050,75920.0,6532.0,0.09462598901887825,0.0026157986692262884,0.1848175528509015,0.09560917139666292,0.002616608398531642,0.18860173439479472,SSP2-4.5,CEHWI,Compound
ssp245,Cape_Coral,cehwi,day,all,Cape Coral,2025-2050,75920.0,17460.0,0.2526107623116829,0.004936916330905823,0.5958723738290516,0.25631574926241996,0.0049830852261405064,0.6139618730072621,SSP2-4.5,CEHWI,Daytime
ssp245,Cape_Coral,cehwi,night,all,Cape Coral,2025-2050,75920.0,14779.0,0.0,0.0,0.08816765699382205,0.0,0.0,0.08859517255160228,SSP2-4.5,CEHWI,Nighttime
ssp245,Cape_Coral,exceeded_quantity,composite,all,Cape Coral,2025-2050,75920.0,6532.0,0.11602264960656833,0.0,0.27910142442476865,0.11704312859972678,0.0,0.2850444857853394,SSP2-4.5,Exceeded cumulative intensity,Compound
ssp245,Cape_Coral,exceeded_quantity,day,all,Cape Coral,2025-2050,75920.0,17460.0,0.2583747140318843,0.0003757038925209225,0.6114438710146278,0.2609167728713486,0.00037750838555005963,0.6250278356723116,SSP2-4.5,Exceeded cumulative intensity,Daytime
ssp245,Cape_Coral,exceeded_quantity,night,all,Cape Coral,2025-2050,75920.0,14779.0,0.03698664424191981,0.0,0.2738713926194257,0.037055720996116724,0.0,0.27704110730337,SSP2-4.5,Exceeded cumulative intensity,Nighttime
