scope,scope_label,denominator_package,scenario,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,scope_label_plot,heatwave_label_plot,indicator_label_plot,scenario_label_plot,period_plot,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share
primary_national,national pooled,annual_all_days_primary,ssp245,cehwi,composite,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Compound,CEHWI,SSP2-4.5,2025-2050,459.9760914760915,0.2511222791690297,0.007616473269972688,0.4865116714048183,0.2579213158806806,0.007623936512567165,0.5133139389234265,0.2579213158806806,0.00649732691059223,0.5133139389234265,0.0
primary_national,national pooled,annual_all_days_primary,ssp370,cehwi,composite,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Compound,CEHWI,SSP3-7.0,2025-2050,486.63669438669444,0.2650593766036335,0.008276841162699815,0.5116558697381748,0.2720638564505935,0.0082849601097884,0.5386081936718506,0.2720638564505935,0.007350254003650465,0.5386081936718506,0.0
primary_national,national pooled,annual_all_days_primary,ssp585,cehwi,composite,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Compound,CEHWI,SSP5-8.5,2025-2050,523.8638253638254,0.3128026515662349,0.009582749058498923,0.6060030671798078,0.3215561628470194,0.009592591880496578,0.6402989047757333,0.3215561628470194,0.00783760967553104,0.6402989047757333,0.0
primary_national,national pooled,annual_all_days_primary,ssp245,cehwi,day,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Daytime,CEHWI,SSP2-4.5,2025-2050,807.7848232848233,0.2289294977018767,0.00413450437595667,0.531422643013166,0.23269749833210546,0.004169990783803725,0.549532884638651,0.23269749833210546,0.00036843840937190233,0.549532884638651,0.0
primary_national,national pooled,annual_all_days_primary,ssp370,cehwi,day,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Daytime,CEHWI,SSP3-7.0,2025-2050,807.8409563409564,0.21962881805619378,0.002928969769755992,0.5142561513196692,0.2229971261423083,0.0029499522939472386,0.5309145324716742,0.2229971261423083,2.0914982347595304e-05,0.5309145324716742,0.0
primary_national,national pooled,annual_all_days_primary,ssp585,cehwi,day,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Daytime,CEHWI,SSP5-8.5,2025-2050,865.9209979209979,0.26340212443301486,0.005463372084463462,0.6054302600390723,0.2680164860195089,0.005507934186616312,0.6272091389598384,0.2680164860195089,0.0002588053973759616,0.6272091389598384,0.0
primary_national,national pooled,annual_all_days_primary,ssp245,cehwi,night,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Nighttime,CEHWI,SSP2-4.5,2025-2050,405.2448024948025,1.0596238507383758e-08,0.0,0.03794605633694076,1.0601761839790168e-08,0.0,0.038169914713457334,0.0,0.0,0.038169914713457334,0.0
primary_national,national pooled,annual_all_days_primary,ssp370,cehwi,night,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Nighttime,CEHWI,SSP3-7.0,2025-2050,433.88669438669444,0.0,0.0,0.039490420814281696,0.0,0.0,0.03970360048243314,0.0,0.0,0.03970360048243314,0.0
primary_national,national pooled,annual_all_days_primary,ssp585,cehwi,night,all,national,national,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","National
pooled",Nighttime,CEHWI,SSP5-8.5,2025-2050,449.9932432432433,0.0,0.0,0.044031053432597125,0.0,0.0,0.04429405898192602,0.0,0.0,0.04429405898192602,0.0
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp245,cehwi,composite,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Compound,CEHWI,SSP2-4.5,2025-2050,539.3211233211233,0.2485013953198944,0.027867160552450122,0.8978145033161176,0.2551076363191143,0.02820466969632148,1.0407161601919968,0.24776882680553164,0.028072191910693007,1.0407161601919968,0.0
sensitivity_dtw4lag12,DTW4lag12 phenotype-stratified,annual_all_days_primary,ssp370,cehwi,composite,all,DTW4lag12,DTW4lag12_mixed,All_cities,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12","DTW4lag12
phenotype",Compound,CEHWI,SSP3-7.0,2025-2050,570.8455433455433,0.2661202424943314,0.02686640450437877,0.9600020117075848,0.2729882202480228,0.02716390699954135,1.0648708011736585,0.26717695001121683,0.027007055864072302,1.0648708011736585,0.0
