scenario,city_standard,model_key,indicator,heatwave_type,activity_type,curve_scope,partition_family,partition_name,denominator_id,denominator_label,denominator_months,period,n_days,heatwave_days,pa_loss_fraction_percent_all_days,pa_loss_fraction_low_percent_all_days,pa_loss_fraction_high_percent_all_days,annualized_asri_percent,annualized_asri_low_percent,annualized_asri_high_percent,benefit_adjusted_asri_percent,benefit_adjusted_asri_low_percent,benefit_adjusted_asri_high_percent,exposure_clipped_share,lon,lat
ssp245,Abilene,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,16211.0,0.805055861402983,0.0228073918634611,1.5736888736973036,0.8318794155824629,0.0228353293864758,1.6808477794811103,0.8318794155824629,-0.0170889483161837,1.6808477794811103,0.0,-99.72248665892138,32.43090707989828
ssp245,Abilene,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,8659.0,0.0583702236705791,0.0,0.146834578619217,0.0587129653202955,0.0,0.1489816357257832,0.0587129653202955,-0.0315557050851938,0.1489816357257832,0.0,-99.72248665892138,32.43090707989828
ssp245,Abilene,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,9875.0,0.0,0.0,0.0396997912702951,0.0,0.0,0.039835934245641,-0.0333680570422915,-0.1065720483302252,0.039835934245641,0.0,-99.72248665892138,32.43090707989828
ssp245,Abilene,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,16211.0,0.5907666008660717,0.0,1.3529373405918574,0.603331124012908,0.0,1.4192072822413302,0.603331124012908,-0.2125450342155135,1.4192072822413302,0.0,-99.72248665892138,32.43090707989828
ssp245,Abilene,exceeded_quantity_day_all,exceeded_quantity,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,8659.0,0.1142003583835246,7.887229471178081e-06,0.2720212748840684,0.115250148491393,7.896339384431096e-06,0.2778146769853946,0.115250148491393,-0.0473143800026082,0.2778146769853946,0.0,-99.72248665892138,32.43090707989828
ssp245,Abilene,exceeded_quantity_night_all,exceeded_quantity,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,85410.0,9875.0,0.0257704083893228,0.0,0.1857880336965836,0.0258253689344195,0.0,0.1881694630116605,0.0258253689344195,-0.1365187251428215,0.1881694630116605,0.0,-99.72248665892138,32.43090707989828
ssp245,Amarillo,cehwi_composite_all,cehwi,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,94900.0,11896.0,0.4455803574109938,0.0137423244587384,0.8577536874278966,0.4584107150637014,0.0137565418053679,0.906998835307119,0.4584107150637014,0.0098225948202843,0.906998835307119,0.0,-101.84151260135,35.1822476629671
ssp245,Amarillo,cehwi_day_all,cehwi,day,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,94900.0,15091.0,0.1644360261887693,0.0010200263002794,0.3935848759171742,0.1664879487167871,0.0010244581957008,0.4042511014659419,0.1664879487167871,-0.0712752040323697,0.4042511014659419,0.0,-101.84151260135,35.1822476629671
ssp245,Amarillo,cehwi_night_all,cehwi,night,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,94900.0,5052.0,0.0,0.0,0.0149315340242336,0.0,0.0,0.0149696227862004,-0.0126466152460982,-0.0402628532783975,0.0149696227862004,0.0,-101.84151260135,35.1822476629671
ssp245,Amarillo,exceeded_quantity_composite_all,exceeded_quantity,composite,all,national,national,National,annual_all_days_primary,All calendar-year days; non-heatwave days contribute zero,"1,2,3,4,5,6,7,8,9,10,11,12",2025-2050,94900.0,11896.0,0.4246989296272696,0.0,0.968440577959588,0.4342380902348638,0.0,1.0181947415267147,0.4342380902348638,-0.1497185610569861,1.0181947415267147,0.0,-101.84151260135,35.1822476629671
